objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners
658355,Association  LA PIERRE QUI POUSSE,"Créée en septembre 2024, notre association a pour objet la gestion et l’animation du café itinérant “La Pierre Qui Pousse” pour développer le lien social et l’accès du plus grand nombre à la culture.  Elle participe ainsi à l’animation socio-culturelle du bassin Athis Val de Rouvre.  ",/associations/association-la-pierre-qui-pousse,https://cdn.helloasso.com/img/logos/croppedimage-ed19b29896a847b982c0cbe169b9a3a8.jpg,https://cdn.helloasso.com/img/photos/croppedimage-35311a28d7f74e9a88d6c17a62a10259.jpg,Athis-Val de Rouvre,61100,Orne,Normandie,16 Place Saint-vigor,48.811008,-0.498773,Association1901,,,1,Event,1774306800,,110,cmmabn
365797,ORNE TO BE RIDE,"Découverte du patrimoine Ornais et d'une manière générale Normand, au travers de balades Moto et Auto.",/associations/orne-to-be-ride,https://cdn.helloasso.com/img/logos/croppedimage-5a60846ba59b4a4f998e42104220d69c.jpg,https://cdn.helloasso.com/img/photos/croppedimage-5086a691451e42b8baac2ae833a9534b.png,Alençon,61000,Orne,Normandie,25 Rue Louis Demees,48.432359,0.095176,Association1901,Moto | Patrimoine,,4,"Event, Membership",1672354800,1775076256,110,cmmabn
219754,Essor MPI Orne-Est,"1er réseau de chefs d’entreprise de l’Orne porté et animé par la CCI Porte de Normandie, ESSOR MPI ORNE-EST est ouvert aux créateurs et aux repreneurs d’entreprises ainsi qu’aux dirigeants en activité ou anciens dirigeants pour favoriser la transmission des savoirs.",/associations/essor-mpi-orne-est,https://cdn.helloasso.com/img/logos/croppedimage-3370bbe2f4ae4b3981b4c0c4fae9422a.png,https://cdn.helloasso.com/img/photos/croppedimage-b6cfc4f163d84cf4803cf024c1eefbaa.png,Alençon,61000,Orne,Normandie,23 Boulevard de Strasbourg,48.436298,0.089672,Association1901,Étudiants | Réseaux pros et étudiants,,2,"Event, Membership",1600034400,1775036135,110,
391646,ASOKAC61 ,"ASOKAC61 est un club de poursuite sur terre , auto cross et kart cross , basé dans l'orne a la ferté macé ",/associations/asokac61,https://cdn.helloasso.com/img/logos/croppedimage-78b814fa22e74cbba7a93185450e4e2b.png,https://cdn.helloasso.com/img/photos/croppedimage-1e375dc148524db58cb33282eba14c91.png,La Ferté Macé,61410,Orne,Normandie,La Vallee de la Cour,48.53871,-0.360469,Association1901,Sport,,1,Event,1680732000,1775070694,110,
333678,comité des fêtes des Aspres,"Association loi 1901, le comité des fêtes existe pour créer de l'animation dans notre village comme la fêtes des voisins, la brocante, rando Jean GABIN pour faire découvrir notre belle campagne et les décos de Noël. ",/associations/comite-des-fetes-des-aspres,https://cdn.helloasso.com/img/logos/croppedimage-b5658e0e16b249ccbd427d92123d2d6f.png,https://cdn.helloasso.com/img/photos/croppedimage-541d1d7e5ab1492d81b2679e558dc294.png,Les Aspres,61270,Orne,Normandie,13 Rue du Vieux Château,48.690061,0.599565,Association1901,Fête | Loisirs,Comites-des-fetes,2,Event,1656885600,1775072620,110,cmmabn
274240,MJC Le Rond-Point,La M.J.C. le Rond Point (L'Aigle - 61 - Orne) est une association d'éducation populaire de type loi 1901 qui a pour but de favoriser l'accès à la culture pour tous.,/associations/mjc-le-rond-point,https://cdn.helloasso.com/img/logos/croppedimage-91205f9a4bfc4746970b9a95df5fdb0e.png,https://cdn.helloasso.com/img/photos/croppedimage-f63467afd6934f4bab598667dc56752b.png,L'Aigle,61300,Orne,Normandie,12 Rue des Tanneurs,48.765802,0.625691,Association1901Rig,Animaux | Arts | Culture | Arts et Culture,,34,"Event, Membership",1626300000,1775059986,110,cmmabn
247124,Congrégation Dachang Vajradharaling ,"Transmettre l'enseignement du Bouddha en accueillant toute personne ou groupe de personnes souhaitant découvrir ou approfondir les disciplines philosophiques, théologiques et spirituelles de cette tradition.",/associations/congregation-dachang-vajradharaling,https://cdn.helloasso.com/img/logos/croppedimage-8eccc2012712445aa59c5126cc50a393.jpg,https://cdn.helloasso.com/img/photos/croppedimage-982da39f163443479503aaf94a04a2e2.png,Aubry-le-Panthou,61120,Orne,Normandie,865 route d'osmont,48.854027,0.229783,Association1901Rup,Enseignement | Religion | Spiritualité,,7,"Shop, Event, Donation",1613516400,1775031866,110,cmmabn
323244,ARGENTAN BMX,Club de BMX Race,/associations/argentan-bmx,https://cdn.helloasso.com/img/logos/croppedimage-20d747bf97d6433b9b4dd937e8f329da.png,https://cdn.helloasso.com/img/photos/croppedimage-51a27b2f8d53450c9e2d5a4f09794553.png,Flers,61100,Orne,Normandie,122 Rue Paul Saniez,48.736749,-0.595354,Association1901Rig,BMX | Sport | Animaux,,10,"Shop, Event",1652824800,1774970512,110,
651462,Étoile de vie nouvelle edvn61 ,"                  Appel aux jeunes d'Alençon. Alençon a besoin de tes idées.       CHEZ EDVN61, on ne veut pas juste prendre votre temps. on veut vous aider à devenir les leaders de demain.   Découvrons ensemble vos atouts personnels.",/associations/etoile-de-vie-nouvelle-edvn61,https://cdn.helloasso.com/img/logos/croppedimage-b0eda2843c3742e2b874703e4aa940ea.png,https://cdn.helloasso.com/img/photos/croppedimage-3662f1f4c7d14626ab3854607d2381c2.png,Alençon,61000,Orne,Normandie,3 rue Henri becquerel ,48.434602,0.106664,Association1901,Caritatif | Humanitaire | Solidarité et Action Sociale,,1,Membership,1771887600,,110,cmmabn
364040,BMX CLUB DE FLERS,"Le BMX Club de Flers propose la pratique du BMX RACE.  Les entraînements se font sur la piste de la sapinière, située Rue du commandant Charcot (derrière la gendarmerie) .  ",/associations/bmx-club-de-flers,https://cdn.helloasso.com/img/logos/croppedimage-d0d581c74a4b4cd591c6e205d9ae621e.png,https://cdn.helloasso.com/img/photos/croppedimage-3c43c42b5e6742ceabc6048c5d4bfb9e.jpg,Flers,61100,Orne,Normandie,Rue du Commandant Charcot,48.748749,-0.551293,Association1901,BMX | Sport,,2,"Shop, Membership",1671145200,1771267405,110,Infolocale | cmmabn
655013,"TAXI ""OPÉRATION NINJA""","Nous sommes Noa et Lola, frère et sœur étudiants, engagés dans le 4L Trophy. À bord de notre 4L, nous apporterons des fournitures scolaires et d'hygiène, des denrées alimentaires... aux enfants au Maroc. Chaque don, même petit, nous aide à réaliser ce projet solidaire. Merci pour votre soutien ! ",/associations/taxi-operation-ninja,https://cdn.helloasso.com/img/logos/croppedimage-6e98bce84b264bc294860e05e2fa35bf.jpg,https://cdn.helloasso.com/img/photos/croppedimage-aca851f921e345f5a16afddb75d10c17.png,Chanu,61800,Orne,Normandie,2 impasse André Hamon,48.72678,-0.675846,Association1901,,,1,Donation,1773183600,1775054613,110,
471582,Les Villages Tinchebrayens,Association bénévole des Villages Tinchebrayens. Evénements organisés par notre association: - Villages en Fête - Puces Tracteur - Rando-Villages - Omelette géante du téléthon,/associations/les-villages-tinchebrayens,https://cdn.helloasso.com/img/logos/croppedimage-3a4c1a22a5ff43ed8ab7bd82ac3c4c9a.png,https://cdn.helloasso.com/img/photos/croppedimage-520203f685674527979765bf5dfc7cde.png,Tinchebray-Bocage,61800,Orne,Normandie,Les Masures 603,48.739902,-0.738145,Association1901,Fête | Loisirs,Téléthon,1,Event,1706742000,1775068410,110,
73438,Anosmie.org,"L'anosmie est l'absence ou la perte totale du sens de l'odorat. L'association souhaite sensibiliser la société à ce handicap sensoriel invisible, à sa connaissance, sa reconnaissance mais aussi à ses conséquences sociales nombreuses et importantes.",/associations/anosmie-org,https://cdn.helloasso.com/img/logos/croppedimage-f169426e092d43bc874105308c5c6993.png,https://cdn.helloasso.com/img/photos/croppedimage-66a1c5c450f649228aca0d82e8eecf03.png,Durcet,61100,Orne,Normandie,14 route du Printemps,48.750282,-0.434856,Association1901Rig,Handicap | Humanitaire | Solidarité | Solidarité et Action Sociale,Don,7,"Shop, PaymentForm, Donation, Membership",1514588400,1774947701,110,cmmabn
345819,orne to be euh live,l'association orne to be euh live a vu le jour en mars 2022. Elle porte l'organisation du festival why not camp 2 qui a eu lieu les 16 et 17 septembre 2022 sur une prairie en pleine campagne sur la commune de st hilaire de briouze (61). Deux soirées concerts et sound system sous chapiteaux :)  ,/associations/orne-to-be-euh-live,https://cdn.helloasso.com/img/logos/croppedimage-c52ddc6464ac4948a70ad94fbeeb5d50.png,https://cdn.helloasso.com/img/photos/croppedimage-954da26fbe644205bc46f1f996ceea19.png,Putanges-le-Lac,61210,Orne,Normandie,Les Bâles,48.733299,-0.266567,Association1901,Arts | Culture | Arts et Culture,,2,"Donation, Event",1664056800,1775041171,110,cmmabn
