objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners
296801,ORAISON ROLLER SKATING,ORAISON ROLLER SKATING  - 1 LICENCE : 4 ACTIVITÉS - Roller School - Roller Hockey -Skateboard - Patinage Artistique  ,/associations/oraison-roller-skating,https://cdn.helloasso.com/img/logos/croppedimage-80b9ed4e83804b629a87fcd43100f0d1.png,https://cdn.helloasso.com/img/photos/croppedimage-69103314cfcb4213bccb878c2a005ede.png,Oraison,04700,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,Avenue Francis Richard,43.9240537,5.9193868,Association1901,Sport | Arts | Hockey sur glace | Patinage artistique | Roller | Skate,,2,"Event, Membership",1639695600,1774988848,110,FFRS
378656,OTRATIERRA - école d artivismes ,"L’association OTRATIERRA est une plateforme d'arts et d'activisme qui vise à rendre visibles les pratiques et les pensées décoloniales qui ont lieu dans le monde contemporain, avec une attention particulière pour le Sud global.",/associations/otratierra-ecole-d-artivismes,https://cdn.helloasso.com/img/logos/croppedimage-5023146ae8334ecfa75993032cb53149.png,https://cdn.helloasso.com/img/photos/croppedimage-0aa396a03c7b4267a559a11626c587a8.png,Forcalquier,04300,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,42 Rue des Pins,43.964899,5.796456,Association1901,Arts | Culture | Arts et Culture,,3,"Event, Donation, Membership",1676847600,1748695744,110,
307538,Team Greoux Bike,Club de cyclisme pour tous BMX Race et VTT,/associations/team-greoux-bike,https://cdn.helloasso.com/img/logos/croppedimage-605411ef01a54896a033db93897a2ee0.png,https://cdn.helloasso.com/img/photos/croppedimage-4a1892506bab4c029612cfaae26dd520.png,Gréoux-les-Bains,04800,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,7 Place de l’Hôtel de Ville,43.758182,5.883648,Association1901Rup,Sport | BMX | Cyclisme | VTT,,4,"Shop, Event, Membership",1645570800,1775033318,110,BAssociation | Team Pulse
565751,CLPE de Volx - Conseil Local des Parents d'Élèves,Le CLPE de Volx est l'association des Parents d’élèves des écoles maternelle et élémentaire de Volx. LE CLPE a pour mission de : - Représenter les parents d’élèves aux conseils d’école (3 par an) - Participer à la vie des écoles et de la commune en proposant des activités et des évènements,/associations/clpe-de-volx-conseil-local-des-parents-d-eleves,https://cdn.helloasso.com/img/logos/croppedimage-79b017f724d346998ea1fc56bca26bfa.png,https://cdn.helloasso.com/img/photos/croppedimage-7bbf127eca5948afb26b58dd46e9df58.png,Volx,04130,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,Place des Félibres,43.877213,5.842466,Association1901,Education | Humanitaire | Solidarité,,9,"Shop, Event, Donation, Membership",1737846000,1774965536,110,
522833,Les Zamis-es d'AO - Z'AO,"Développer et organiser différents évènements sportifs ou autres, motoriser ou pas, avec repas, buvette principalement sur le Domaine de l'Asselou, Evènements caritarifs,  Vide Grenier Promouvoir et faciliter l'accès aux milieux naturels  Combiné écologie et passion tout terrain, bivouac... ",/associations/les-zamis-es-d-ao-z-ao,https://cdn.helloasso.com/img/logos/croppedimage-b552878f655e4fe7b689894ca6bf199c.png,https://cdn.helloasso.com/img/photos/croppedimage-74687dc249414a8787e154f7d2a2f992.png,Beynes,04270,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,Route départementale 907d,43.973633,6.221723,Association1901,Écologie | Loisirs,,1,Event,1722463200,1774949145,110,
643791,Les boukans,"C'est dans le petit village de Quinson dans les gorges du verdon que l'association Les Boukans voit le jour. Une troupe de personnes engagées et volontaires qui propose des activités hebdomadaires telles que du yoga, du ping-pong et de la danse. Sans oublier des évènements plus festif toute l'année!",/associations/les-boukans,https://cdn.helloasso.com/img/logos/croppedimage-a9bdb5af5d264915995f19a06be247bd.png,https://cdn.helloasso.com/img/photos/croppedimage-b0eff58ec4da479ba3f8ea9eb780e171.png,Quinson,04500,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,4 Rue du Puits de Ville,43.701969,6.040705,Association1901,Arts | Culture | Danse | Fête | Tennis de table | Bien-être,,4,"Event, Membership",1769382000,1774864995,110,
593925,SOLEIL ET MONTAGNE,"Soleil&Montagne est un FabLab dans le domaine de l'énergie et du numérique. C'est une Personne Morale Organisatrice vis-à-vis d'ENEDIS pour partager en Autoconsommation Individuelle et Collective de l'électricité locale, sans frais de gestion, sans taxe, pour CONSOMMATEUR et/ou PRODUCTEUR en Ubaye.",/associations/soleil-et-montagne,https://cdn.helloasso.com/img/logos/croppedimage-05a9ad40bcd84421985efe8875b1c28c.png,https://cdn.helloasso.com/img/photos/croppedimage-f68d447798454a9fa116ceb047c74535.jpg,Jausiers,04850,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,29 route de Malbosc,44.407777,6.721047,Association1901,Environnement | Informatique | Ecologie et Environnement,,2,"PaymentForm, Membership",1748815200,1774805380,110,
481501,LE FUTE LUMINEUX,"L'association LE FUTE LUMINEUX a pour objectif : l'enseignement, la recherche et l'expérimentation des sciences humaines émergentes à l'origine d'une nouvelle conscience qui privilégie la résilience, l'autonomie, le lien avec la nature et l'épanouissement de l'être.",/associations/le-fute-lumineux,https://cdn.helloasso.com/img/logos/croppedimage-dd389c5f1eec45fdab8ee3cb547f2ca1.png,https://cdn.helloasso.com/img/photos/croppedimage-9a27d88b5da04efe86491c8dae4ae173.png,Saint-Geniez,04200,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,Domaine de l'Estachon,44.245226,6.05266,Association1901,Enseignement | Formation | Recherche | Sciences | Sciences et Technologie | Santé,,2,Event,1709334000,1774642170,110,
44293,les chemins de shanti,Rencontre des spiritualités,/associations/les-chemins-de-shanti,https://cdn.helloasso.com/img/logos/les chemins de shanti-7481a95604f4467ebd39a2a2bc90f094.png,https://cdn.helloasso.com/img/photos/rives g r-9c0ff4074628416d91a663843a530776.jpg,Dauphin,04300,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,252 Le Grand Chemin ,43.899828,5.785472,Association1901,Humanitaire | Solidarité | Solidarité et Action Sociale,,20,"Event, Donation, Membership",1460325600,1774876555,110,
643126,WIFFLE BALL ANNOT ASSOCIATION SPORTIVE,"Nous sommes une association dédiée à la pratique et à la promotion du Wiffle Ball, un sport ludique et accessible inspiré du baseball. Nous proposons des entraînements, des rencontres et des événements ouverts à tous, dans un esprit convivial, inclusif et sportif.",/associations/wiffle-ball-annot-association-sportive,https://cdn.helloasso.com/img/logos/croppedimage-5c10d1602d3d453781ee28436a7a2e3b.png,https://cdn.helloasso.com/img/photos/croppedimage-c348af96875e4931a6b8e21ed83136e3.png,Annot,04240,Alpes-de-Haute-Provence,Provence-Alpes-Côte d'Azur,20 place du Coulet,43.966537,6.66766,Association1901,Sport | Baseball,,1,Membership,1769122800,1773578148,110,
