objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
340520,Maison de l'architecture des Hauts-de-France,"La Maison de l’Architecture des Hauts-de-France est une association de loi 1901. Elle propose à tous les passionnés, professionnels et grand public, des évènements pour faire vivre l’architecture autrement et imaginer tous ensemble la ville, les paysages et l’habitat de demain.",/associations/maison-de-l-architecture-des-hauts-de-france,https://cdn.helloasso.com/img/logos/croppedimage-9754334e63234ca78664ca7fd46818e4.png,https://cdn.helloasso.com/img/photos/croppedimage-3f78203d4d02480fb60bf1d6d89d7445.png,Amiens,80000,Somme,Hauts-de-France,15 Rue Marc Sangnier,49.893304,2.291177,Association1901Rig,Architecture | Arts | Culture | Professionnels | Patrimoine | Solidarité et Action Sociale,,2,"Event, Membership",1661896800,1774703992,110,,contact@maisonarchitecture-hdf.org,0322916204
335603,Les Spartiates d'Amiens,Les Spartiates d'Amiens est un club sportif situé dans la ville d'Amiens.  Nous proposons la pratique du : - Football Américain (à partir de 13ans) - Flag Football (à partir de 8ans) - Cheerleading (à partir de 8ans)  Le club a été créé en 1987 et évolue au plus haut niveau Français.,/associations/les-spartiates-d-amiens,https://cdn.helloasso.com/img/logos/croppedimage-7de2d5fd161a4f14a9dc4e2b0b9ae307.jpg,https://cdn.helloasso.com/img/photos/croppedimage-03d85b047c394b0fa4b5689c583b0ceb.png,Amiens,80000,Somme,Hauts-de-France,153 Rue du Faubourg de Hem,49.902278,2.277475,Association1901,Sport | Football | Football américain,,3,"Shop, Event, Membership",1658268000,1775042704,110,FFFA,communication@lesspartiates.com,0322529924
350130,MIAGE PLUS AMIENS,Miage PLUS Amiens est une association étudiante organisant des événements,/associations/miage-plus-amiens,https://cdn.helloasso.com/img/logos/croppedimage-812d6cdae8cc4da4aaf83274be402886.png,https://cdn.helloasso.com/img/photos/croppedimage-3f3dba8401034038bdab67e5d7b5d930.png,Amiens,80000,Somme,Hauts-de-France,33 Rue Saint-Leu,49.899049,2.300528,Association1901,Réseaux pros et étudiants | Étudiants,,4,"Shop, Membership",1665612000,1774948183,110,,miageplusamiens@gmail.com,0610616848
399994,ESCLAM GYM,"Club de gymnastique artistique féminine et masculine, de gymnastique rythmique, de parkour, de tumbling, de babygym, gym senior sur agrès ... situé au gymnase Jean-Claude Descamps à Longueau et au gymnase Michel Dupontreue à Amiens.",/associations/esclam-gym,https://cdn.helloasso.com/img/logos/croppedimage-694b5c18f625420084d1d531487cd929.png,https://cdn.helloasso.com/img/photos/croppedimage-fd8d7088729e4294b1e194cd48964469.png,Longueau,80330,Somme,Hauts-de-France,Rue Lucette Bonard,49.874393,2.358377,Association1901,Sport | Arts | Gymnastique,,2,"Shop, Event",1683583200,1775031817,110,Gestgym,esclam.gym@orange.fr,0322470917
192723,Les Recyclettes - Amiens,Les Recyclettes ont pour objectif d'accompagner les professionnels et les particuliers vers le compostage de leurs déchets organiques,/associations/les-recyclettes-amiens,https://cdn.helloasso.com/img/logos/les recyclettes amiens-597d8a8abb9144d9a7224f7372955fd6.png,https://cdn.helloasso.com/img/photos/croppedimage-33666ff10fd2406bac174d10f15f30cb.png,Amiens,80000,Somme,Hauts-de-France,30 Square Friant les Quatre Chênes,49.89017,2.280788,Association1901Rig,Ecologie et Environnement | Environnement | Professionnels,Giving-tuesday | Don,4,"Event, Donation, Membership",1581894000,1775037149,110,,josephine@lesrecyclettes.fr,0672007401
210615,cordistes en colere cordistes solidaires ,"Association d'autodéfense de cordistes. Intérimaires, embauché(e)s, indépendant(e)s : lutte, entraide, partage d'infos et témoignages.",/associations/cordistes-en-colere-cordistes-solidaires,https://cdn.helloasso.com/img/logos/croppedimage-8af3294b1ef54b27b5d095c63f70d7a4.jpg,https://cdn.helloasso.com/img/photos/croppedimage-3fbaad8e05ba4704b14f78c806b1b429.png,Rogy,80160,Somme,Hauts-de-France,8 Rue de la Terrière,49.712206,2.210365,Association1901Rig,Humanitaire | Solidarité | Solidarité et Action Sociale,,4,"Shop, Donation",1593381600,1773850947,110,,contact@cordistesencolere.fr,06 14 70 89 32
289064,Alliance Business Club Grand Amiens,Le Club ABC Grand Amiens (Alliance Business Club) est un lieu d'échange pour les entrepreneurs & entrepreneuses d'Amiens qui souhaitent développer leurs business. ,/associations/alliance-business-club-grand-amiens,https://cdn.helloasso.com/img/logos/croppedimage-ffa8e78facdf40128f084264491ccf17.png,https://cdn.helloasso.com/img/photos/croppedimage-ecb7c7934cbb469d8318af2d241edd96.png,Camon,80450,Somme,Hauts-de-France,156 Rue Nationale,49.917959,2.358434,Association1901,Professionnels | Étudiants | Spiritualité,,2,Event,1635285600,1774988113,110,,contact@clubabcgrandamiens.com,
489546,Les petits NAC,"Association amiénoise de protection des NAC basée à Amiens (80). Sauvetages, soins, adoptions et sensibilisation. Dernière mission : sauver près de 400 octodons.",/associations/les-petits-nac,https://cdn.helloasso.com/img/logos/croppedimage-c5d185fe9f804882b55e9d00f73c9ea3.png,https://cdn.helloasso.com/img/photos/croppedimage-31ee44555b914e0496fef45c8027c826.png,Amiens,80000,Somme,Hauts-de-France,59 Square Friant les Quatre Chênes,49.890576,2.278628,Association1901Rig,Humanitaire | Solidarité | Animaux | Ecologie et Environnement,,6,"CrowdFunding, Shop, Donation, Membership",1711062000,1774984039,110,BasicCompta,lespetitsnac@gmail.com,0672755804
347070,Fibois Hauts-de-France,Fibois Hauts-de-France est l’association interprofessionnelle et le Pôle d’Excellence régional de la filière forêt bois en Hauts-de-France.,/associations/fibois-hauts-de-france,https://cdn.helloasso.com/img/logos/croppedimage-10a0c817a31f4c76b9cf0375c9e5a3b4.png,https://cdn.helloasso.com/img/photos/croppedimage-4d4477d82e15477598be7901206cbefd.png,Amiens,80000,Somme,Hauts-de-France,56 Rue du Vivier,49.892561,2.308739,Association1901,Environnement | Forêt | Ecologie et Environnement,,1,Event,1664488800,1774291017,110,,contact@fibois-hdf.fr,0375140170
586933,LA PETITE FERME DE MILHOUETTE,Initier au respect du vivant et de la nature par la conduite de la ferme sur les bases de la permaculture et  accompagner l’épanouissement par la prise de responsabilité de chacun. ,/associations/la-petite-ferme-de-milhouette,https://cdn.helloasso.com/img/logos/croppedimage-63bd108148ec4667ab31c420a0072c74.png,https://cdn.helloasso.com/img/photos/croppedimage-ddf057f2acb6426eb423dbde11e6bf5d.jpg,Parvillers-le-Quesnoy,80700,Somme,Hauts-de-France,9 rue Milhouette,49.748732,2.736657,AssociationProprietaire,Ecologie et Environnement | Environnement | Permaculture,,5,"Event, Membership",1745964000,1774970569,110,,asso@milhouette.fr,0658811130
