objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
502094,Les P'tits Corrézois,Les P'tits Corrézois est l'association de parents d'élèves de l'école publique de Corrèze. Cette association a pour but de soutenir financièrement les projets de l'école pour permettre à tous les enfants de bénéficier d'un enseignement le plus riche possible.,/associations/les-p-tits-correzois,https://cdn.helloasso.com/img/logos/croppedimage-cc087192b45f44009e9fb7e9e46629c6.png,https://cdn.helloasso.com/img/photos/croppedimage-e746cb66b5ac498a84f3a217699eedb1.png,Corrèze,19800,Corrèze,Nouvelle-Aquitaine,1 place de la mairie,45.372077,1.873743,Association1901,Education | Enfance | Enseignement | Formation | Parents d'élèves,,4,"Shop, Event, Membership",1714428000,1774901081,110,,lesptitscorrezois@gmail.com,
225016,Ladies’ Circle 28 Tulle Brive,"Nous sommes une Association Loi 1901, affilié au Ladies' Circle France. Nous somme un Club Service de femmes menant des actions pour des causes locales et nationales. Notre devise est : ""Amitié & Entraide""",/associations/ladies-circle-28-tulle-brive,https://cdn.helloasso.com/img/logos/ladies circle 28 tulle brive-99f9d55d6c6248188f9ffbc23d95d775.png,https://cdn.helloasso.com/img/photos/croppedimage-c8134b0f8640453ba0cd4984158c2312.png,Brive-la-Gaillarde,19100,Corrèze,Nouvelle-Aquitaine,10 Rue Bossuet,45.158125,1.522804,Association1901,Caritatif | Humanitaire | Solidarité et Action Sociale,,1,Event,1602712800,1743783171,110,,ladiescirclecorrezien@gmail.com,0628531104
385597,CLUB DES NAGEURS DE BRIVE,"L'association dite « Club des Nageurs de Brive», fondée en 2003, est un club sportif comprenant des sections d'activités aquatiques affiliées aux fédérations concernées (FFN et FFH).  Elle a pour objet la participation aux compétitions, l'enseignement et le perfectionnement de la natation.",/associations/club-des-nageurs-de-brive,https://cdn.helloasso.com/img/logos/croppedimage-7da6da1160d04234af982c47829f33fd.png,https://cdn.helloasso.com/img/photos/croppedimage-364c76ef99a24245bcba9e8ce7077208.png,Brive-la-Gaillarde,19100,Corrèze,Nouvelle-Aquitaine,8 Avenue Andre Jalinat,45.162887,1.541613,Association1901Rup,Sport | Enseignement | Natation,Sudouest | Don,20,"Shop, Event, Donation",1678921200,1774943035,110,,mathias.lartigaud@cnbrive.fr,0555189517
568037,Voilco Aster,"Forte de son expérience de plus de 60 ans sur le département corrézien, l'association VOILCO ASTER organise sur son centre d'hébergement, des séjours de vacances, classes de découverte, formations BAFA/BAFD. Elle est également gîte de groupes labellisée gîte de France. ",/associations/voilco-aster,https://cdn.helloasso.com/img/logos/croppedimage-028b38193e974632b589b7a51604b686.jpg,https://cdn.helloasso.com/img/photos/croppedimage-2daa885608ea4c0e91026e248bf5e93a.png,Saint-Priest-de-Gimel,19800,Corrèze,Nouvelle-Aquitaine,10 Rue des Mèsanges,45.328018,1.87391,Association1901,Formation | Vacances | Education,,3,Shop,1738623600,1774945590,110,,sandrachassain@voilco-aster.fr,0786212793
339896,Amicale des parents d'élèves du RPI Perpezac-le-Noir et Estivaux,"L’APE regroupe des parents bénévoles qui agissent pour récolter des fonds afin de financer divers projets scolaires : sorties culturelles (cinéma et théâtre), événements sportifs, le Noël de l'école, achats divers ainsi que le voyage de fin d'année.  ",/associations/amicale-des-parents-d-eleves-du-rpi-perpezac-le-noir-et-estivaux,https://cdn.helloasso.com/img/logos/croppedimage-0f57ebdb6a3d49faafbb62049fb10e73.png,https://cdn.helloasso.com/img/photos/croppedimage-79da4138dac341ec909f9d79b3457e50.png,Perpezac-le-Noir,19410,Corrèze,Nouvelle-Aquitaine,51 Rue Principale,45.326272,1.552518,Association1901,Education | Cinéma | Culture | Théâtre | Voyages,,2,"Event, Donation",1661637600,1774854510,110,,amicale.perpezac@gmail.com,
454771,Les fêlés de l'art,"La Récré est un lieu convivial avec un café restaurant et un espace culturel situé à Masseret (19).  L'association porte des animations variées : ateliers (photos, échecs, couture, guitare,…) festival de rue, friperie, distribution via La Cagette de produits locaux, expositions d'artistes…",/associations/les-feles-de-l-art,https://cdn.helloasso.com/img/logos/croppedimage-253f1b5584c54d9b82c1adf4874d0f63.png,https://cdn.helloasso.com/img/photos/croppedimage-17e0fc7c81f54d9b8f325b153ac7f8eb.png,Masseret,19510,Corrèze,Nouvelle-Aquitaine,1 Grand Rue,45.540589,1.519513,Association1901,Couture | Culture | Guitare | Humanitaire | Solidarité | Échecs | Arts et Culture,,12,"Shop, Donation, PaymentForm, Membership",1701471600,1774806345,110,,lesfelesdelart@gmail.com,0677031190
431465,Handball Brive Corrèze,"Le CABC Handball est un club convivial et dynamique qui accueille joueurs et joueuses de tous âges et niveaux. Notre objectif : partager la passion du handball, développer l’esprit d’équipe et faire vivre les valeurs du sport à travers la compétition et la bonne humeur. ?????????",/associations/handball-brive-correze,https://cdn.helloasso.com/img/logos/croppedimage-424e782000034c2794bd6ec99e5a8ded.png,https://cdn.helloasso.com/img/photos/croppedimage-bcb0310a31bb4f1aa7e6041476f74222.png,Brive-la-Gaillarde,19100,Corrèze,Nouvelle-Aquitaine,122 Rue Pierre Chaumeil,45.154554,1.494519,Association1901Rig,Sport | Handball,Octobre-rose,4,"Shop, Donation, Event, Membership",1694383200,1774973810,110,FFHB,handballbrivecorreze@gmail.com,0781625137
349945,Les Enforestés,"""Les enforestés"" est une association visant à protéger les forêts des coupes rases en pays de Tulle. Pour cela, nous achetons collectivement des forêts proches, nous sensibilisons le public à la problématique des coupes rases et leur présentons les alternatives dites de sylviculture douce.",/associations/les-enforestes,https://cdn.helloasso.com/img/logos/croppedimage-8a5dae0ffbf8457194eb8a907efaaf65.png,https://cdn.helloasso.com/img/photos/croppedimage-edee0a3a63b644e491b32340c27b6c5e.png,Tulle,19000,Corrèze,Nouvelle-Aquitaine,18 Rue de la Croix de Bar,45.273425,1.75407,Association1901Rig,Ecologie et Environnement | Environnement | Forêt,Sudouest | Don,3,"CrowdFunding, Membership",1665525600,1774412637,110,,lesenforestes@orange.fr,0689351727
551127,UNION JUDO BRIVE CORREZE LIMOUSIN,"CLUB de JUDO, JU JITSU, KENDO, CHANBARA, TAISO",/associations/union-judo-brive-correze-limousin,https://cdn.helloasso.com/img/logos/croppedimage-9f434eaf20ad4acba0231446bd0504cd.jpg,https://cdn.helloasso.com/img/photos/croppedimage-180ad177b90e4e9cb649d37f68e2575b.png,Brive-la-Gaillarde,19100,Corrèze,Nouvelle-Aquitaine,2ter Avenue Leo Lagrange,45.159236,1.542321,Association1901,Sport | Judo | Kendo,,7,"Event, PaymentForm, Membership",1732143600,1774637260,110,,ujbc19@live.fr,0587106920
528263,Association biloba accompagnement TND,"L'association Biloba accompagne et sensibilise sur les troubles du neurodéveloppement (TND). Comme le ginkgo biloba, nous aidons à mieux s’adapter aux défis du quotidien. Rejoignez-nous pour échanger, s’informer et agir ensemble !",/associations/association-biloba-accompagnement-tnd,https://cdn.helloasso.com/img/logos/croppedimage-7715d249e6514e48a08d7f10f2f794da.png,https://cdn.helloasso.com/img/photos/croppedimage-c659117632c649d7880bcb23a001967e.jpg,Brive-la-Gaillarde,19100,Corrèze,Nouvelle-Aquitaine,11 rue André devaud,45.155867,1.511642,Association1901Rig,Humanitaire | Solidarité | Solidarité et Action Sociale,Sudouest,15,"Event, Donation, Membership",1725228000,1774543224,110,,associationbiloba19@gmail.com,0607581362
647483,LA BRÈCHE UZERCHOISE,"La Brèche Uzerchoise favorise et promeut la création artistique contemporaine et expérimentale, dans l’audiovisuel, les arts plastiques, graphiques et le spectacle vivant, avec un accent sur les actions de sensibilisation et de prévention.",/associations/la-breche-uzerchoise,https://cdn.helloasso.com/img/logos/croppedimage-3f724b602fd7418096e108824d773505.png,https://cdn.helloasso.com/img/photos/croppedimage-92fc31cd857146319fe799d8d9be6eb5.png,Uzerche,19140,Corrèze,Nouvelle-Aquitaine,29 avenue Gerard Philipe,45.42756,1.570242,Association1901,Arts et Culture | Arts | Culture,,1,CrowdFunding,1770591600,1774963507,110,,,
128547,"Le MAS, Montagne Limousine Accueil Solidarité","L’association a pour objet de lutter contre les injustices et les diverses formes d'exclusion, à la fois contre leurs causes et contre leurs conséquences. Elle déploie une solidarité active avec toutes les personnes dans la grande précarité, et en particulier les étrangers.",/associations/le-mas-montagne-limousine-accueil-solidarite,https://cdn.helloasso.com/img/logos/montagne accueil solidarite de peyrelevade-fd195a0fc1174cce8e216cd26da92049.png,https://cdn.helloasso.com/img/photos/croppedimage-ba415d731b6e4d36a597ac1adbf4f37d.png,Tarnac,19170,Corrèze,Nouvelle-Aquitaine,10 Rue du Champ des Rameaux,45.679354,1.94767,Association1901Rig,Solidarité et Action Sociale | Caritatif | Humanitaire | Solidarité,Don-75 | Don,3,"Donation, Membership",1551049200,1773090100,110,,lemaspeyrelevade@riseup.net,
471931,Réseau S a f e ,Réseau de Soutien aux Alternatives Féministes et Ecologiques,/associations/reseau-s-a-f-e,https://cdn.helloasso.com/img/logos/croppedimage-759a34ad085644ef8f5e243b53bb4019.png,https://cdn.helloasso.com/img/photos/croppedimage-f7a3351c01454a3bb7ba36a17caeff45.png,Chartrier-Ferrière,19600,Corrèze,Nouvelle-Aquitaine,"34 Route des Étoiles, Les Âges",45.041494,1.435597,Association1901,Education | Formation | Féminisme,,1,Membership,1706828400,1760693356,110,,Reseausafe@protonmail.com,
247115,Varetz Athlétic Club,Club de football en Corrèze - Convivial et familial le club à été récompensé par la FFF pour son implication dans le programme Club Lieu de Vie - Twitter : @VaretzAC | Instagram : @varetzac #ParPassionDuFoot #ParAmourDuClub #LFNA,/associations/varetz-athletic-club,https://cdn.helloasso.com/img/logos/croppedimage-6e4ba3e3d1b8477480d9c97887fcb2a7.png,https://cdn.helloasso.com/img/photos/croppedimage-dbf774688fe74b939748e4d51ca6fbb2.png,Varetz,19240,Corrèze,Nouvelle-Aquitaine,Place de la Mairie,45.193101,1.4516,Association1901,Sport | Football,Octobre-rose,3,"Shop, Event",1613516400,1763834141,110,,varetz.a.c@orange.fr,0648641186
30007,Réseau pour les Alternatives Forestières,"Ni forêt usine, ni forêt musée ! Le RAF existe pour préserver des forêts vivantes à travers le développement d'alternatives forestières, de la forêt à l'usage du bois. C'est un réseau unique regroupant des professionnel·les et des citoyen·nes se questionnant sur les forêts de leur territoire. ",/associations/reseau-pour-les-alternatives-forestieres,https://cdn.helloasso.com/img/logos/croppedimage-b297384d12b142d983fa7ec38c9858b0.png,https://cdn.helloasso.com/img/photos/croppedimage-2aad2b15f739462b99999e90ec35ea98.jpg,Cornil,19150,Corrèze,Nouvelle-Aquitaine,460 village de Lauconie,45.222802,1.675299,Association1901Rig,Ecologie et Environnement | Environnement | Forêt | Musées | Professionnels,Sudouest | Don,4,"CrowdFunding, Event, Donation, Membership",1412287200,1774605614,110,OHME,contact@alternativesforestieres.org,
324482,COMITE DEPARTEMENTAL CORREZE BASKET BALL,Le Comité Départemental de la Corrèze de Basket-Ball est une association sportive loi 1901 affiliée à la Fédération Française de Basket-Ball (FFBB). Il organise et mène des actions pour développer la pratique du basket-ball dans le département de la Corrèze. ,/associations/comite-departemental-correze-basket-ball,https://cdn.helloasso.com/img/logos/croppedimage-fca8f1b428a14ba7bca858b69c5cdd83.png,https://cdn.helloasso.com/img/photos/croppedimage-a2c73f4b5ff64b6486c468e03c15c588.png,Tulle,19000,Corrèze,Nouvelle-Aquitaine,16 Avenue Victor Hugo,45.263871,1.765375,Association1901,Sport | Basketball,,2,Event,1653343200,1774372834,110,FFBB,president@correzebasketball.org,0680346643
367766,evenements chic limousin,une élection sans critère ni taille ni de poids ,/associations/evenements-chic-limousin,https://cdn.helloasso.com/img/logos/croppedimage-73dcdad6091a4418b2859210cd944edf.png,https://cdn.helloasso.com/img/photos/croppedimage-d69b24a1486c4a01bed0656156b1b165.png,Bugeat,19170,Corrèze,Nouvelle-Aquitaine,8 Rue de la Tranchee,45.599534,1.92534,Association1901,Arts | Culture | Arts et Culture,,6,"Shop, Event",1673305200,1774609769,110,,sophiemylene@hotmail.fr,0684624631
629388,LE PETIT PORTAIL,"L’association ""le petit portail"" porte un projet de construction en Corrèze d'un centre de bien-être en pleine nature.  Elle proposera des stages associant pratiques manuelles et méditations. L'ouverture du site est prévue pour 2028. Notre mission d'ici là : trouver les fonds pour bâtir ce centre!",/associations/le-petit-portail,https://cdn.helloasso.com/img/logos/croppedimage-08fe60fbaf134a0798ee4817e581c3fe.png,https://cdn.helloasso.com/img/photos/croppedimage-5f2dddd991804c689f5f001b15731d27.png,Le Lonzac,19470,Corrèze,Nouvelle-Aquitaine,1 avenue de la Libération,45.465872,1.732177,Association1901Rig,Arts | Culture | Bien-être,,2,"CrowdFunding, Membership",1763334000,1773685063,110,,contact@lepetitportail.com,06 78 42 94 54
603206,LA TOUR DE GUET-VISIONS CONTEMPORAINES,"    Située dans un village du Limousin, l’association a pour objet de favoriser la production, la diffusion et la compréhension de la création contemporaine sous toutes ses formes.",/associations/la-tour-de-guet-visions-contemporaines,https://cdn.helloasso.com/img/logos/croppedimage-92c1932b22ec4014a97d146f6df4da9c.png,https://cdn.helloasso.com/img/photos/croppedimage-6198b8a1f7394fc484e9376b233f973c.png,Voutezac,19130,Corrèze,Nouvelle-Aquitaine,"60, impasse de La Tour de Guet, La Beaudelie- Le Saillant,",45.275108,1.454939,Association1901,Arts | Culture | Arts et Culture,,2,"CrowdFunding, Donation",1752962400,1773658381,110,,contact@latourdeguet.fr,
384644,Foyer Rural et Ecole de Bourrée de Davignac,"Depuis 1971, l'association mène des actions d’éducation populaire : danses et musiques traditionnelles, spectacles, festivals rock mais pas que, pratiques artistiques... Engagée avec la Ligue de l’enseignement, l’association rassemble les habitants et favorise citoyenneté et vivre-ensemble.",/associations/foyer-rural-et-ecole-de-bourree-de-davignac,https://cdn.helloasso.com/img/logos/croppedimage-5c14946a47e74266b8cd48df8983b00a.png,https://cdn.helloasso.com/img/photos/croppedimage-9259a7157c154d08b3616359642a4707.png,Davignac,19250,Corrèze,Nouvelle-Aquitaine,Place de la Mairie,45.483734,2.092867,Association1901Rig,Arts | Culture | Enseignement | Fête | Arts et Culture | Musique,,1,Event,1678662000,1774853988,110,,karine.gaye@eurovia.com,0687309392
576661,ASSOCIATION D'ÉDUCATION POPULAIRE DE BRIVE,"L’Association d’Éducation Populaire de Brive (AEPB) existe depuis 2024. Elle est l'organisateur du Patronage Saint Sernin. Situé à Brive, le Patronage est ouvert à tous les enfants de 6 à 12 ans et a vocation à les faire grandir par le jeu, la prière et le service.",/associations/association-d-education-populaire-de-brive,https://cdn.helloasso.com/img/logos/croppedimage-a954596956a64fdc97bcf192f9682980.png,https://cdn.helloasso.com/img/photos/croppedimage-7ea9a315237d4b9e87112fae5cd68f11.jpg,Brive-la-Gaillarde,19100,Corrèze,Nouvelle-Aquitaine,4 Rue Adrien Et Eva Faure,45.15538,1.533487,Association1901,Education | Enfance | Formation,,1,Donation,1741906800,,110,,patronagesaintsernin@gmail.com,
