objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
507489,En mouvemen''t,"Association de danse sur Viriat Objectifs : accueillir toute personne qui souhaite s'exprimer à travers son corps quel que soit son niveau en danse, sa taille, sa forme,  son genre,  sa culture... juste l'envie de danser, partager,  vibrer, s'amuser ! ",/associations/en-mouvemen-t,https://cdn.helloasso.com/img/logos/croppedimage-3215c1f7e4484856be37613a928faece.png,https://cdn.helloasso.com/img/photos/croppedimage-efbe148128424c7fa90ed9fd91f89b96.png,Viriat,01440,Ain,Auvergne-Rhône-Alpes,Gymnase des Crêts - chemin du Moulin de Riondaz,46.243355,5.208618,Association1901,Culture | Danse | Arts et Culture,Octobre-rose,10,Event,1716328800,1774965388,110,,enmouvement.asso@gmail.com,0660219099
277459,CENTRE SOCIOCULTUREL LES LIBELLULES,"Le Centre socioculturel Les libellules de Gex : Un lieu pour tous !   Notre association est un espace où se mêlent culture, rencontres et échanges. Des activités variées pour tous les âges !  Rejoignez-nous pour vivre, partager et construire ensemble !    ",/associations/centre-socioculturel-les-libellules,https://cdn.helloasso.com/img/logos/croppedimage-2c92db74863144f2962fbbf557ad08fc.png,https://cdn.helloasso.com/img/photos/croppedimage-728d5f72b8564cc192f01ea0b6a54c73.png,Gex,01170,Ain,Auvergne-Rhône-Alpes,228 Avenue des Alpes,46.334192,6.064562,Association1901,Arts | Culture | Arts et Culture,,23,"Shop, Donation, Event, Membership",1629237600,1774972468,110,Infolocale,secretariat@cscleslibellules.fr,04 50 28 34 17
121645,CANOE LOISIRS SKI BOURG,CLUB DE SKI DE LOISIRS ,/associations/canoe-loisirs-ski-bourg,https://cdn.helloasso.com/img/logos/canoe loisirs ski bourg-ea184a1c1b374789bbb8537d01a09805.jpg,https://cdn.helloasso.com/img/photos/20171223 135432-f0d8d53694c24b9bad164558d6a68463.jpg,Bourg-en-Bresse,01006,Ain,Auvergne-Rhône-Alpes,4 ALLEE DES BROTTEAUX  CS 70270,46.2057,5.2258,Association1901,Ski | Sport,,2,"Event, Donation",1545001200,1774970164,110,,contact@clsbourg.com,0681230953
543401,L'Arrosoir 01,"L'Arrosoir... pour faire pousser et grandir le territoire de la Plaine de l'Ain, ses habitants, ses collectivités, ses entreprises, ses structures socio-éducatives... à travers une offre culturelle régulière, avec des spectacles et des projets culturels de qualité professionnelle, en proximité.",/associations/l-arrosoir-01,https://cdn.helloasso.com/img/logos/croppedimage-bf6bd150667a46008339d999aca9dbf3.png,https://cdn.helloasso.com/img/photos/croppedimage-55ea8a4e95df4bb0ba02aea54cd8ced3.png,Chazey-sur-Ain,01150,Ain,Auvergne-Rhône-Alpes,Chazey-sur-Ain,45.896317,5.257718,Association1901Rig,Arts | Culture | Arts et Culture,,5,"Event, Donation, Membership",1729461600,1774968740,110,,,
636673,LE DOMAINE DE SILANS,"Bienvenue à l’association le Domaine de Silans – une association à but non lucrative dédiée à la transmission de la nature et du vivant. Nous gérons la Ferme pédagogique de Bozzi, un lieu unique où l’éducation rencontre la passion des animaux et le respect de l’environnement.",/associations/le-domaine-de-silans,https://cdn.helloasso.com/img/logos/croppedimage-99cbc9319a064d74850dcb915e27a067.png,https://cdn.helloasso.com/img/photos/croppedimage-feb6fb6bfe0a43dca3579ba18b195178.png,Ambronay,01500,Ain,Auvergne-Rhône-Alpes,36 Route de Saint-Jean le Vieux,46.008295,5.365233,Association1901,Animaux | Environnement | Ecologie et Environnement,,3,"Event, Donation, Membership",1766358000,1772959365,110,,info@domainedesilans.com,06 70 24 43 40
348836,BEYNOST BMX LA COTIERE,"Ain'pulsion Côtière BMX (anciennement Beynost BMX La Côtière) est un club de BMX Race comptant de plus de 200 licenciés situé dans le département de l'Ain. Le club est affilié à la Fédération Française de Cyclisme (labellisé ""Baby Vélo"", ""École de Vélo"" et ""Club Compétition"").",/associations/beynost-bmx-la-cotiere,https://cdn.helloasso.com/img/logos/croppedimage-65b53b13778a46558ea01cc642f4483f.png,https://cdn.helloasso.com/img/photos/croppedimage-511d3700674844a8bfe190e859d29ae9.png,Beynost,01700,Ain,Auvergne-Rhône-Alpes,Chemin du Pilon,45.819608,4.997282,Association1901,Sport | BMX | Cyclisme | Vélo,,14,"Shop, Event, PaymentForm, Membership",1665093600,1774955692,110,,secretariatbbc@laposte.net,0670095019
487615,CL'AIN D'OEIL,"centre de loisirs, ludothèque et évènements associatifs",/associations/cl-ain-d-oeil,https://cdn.helloasso.com/img/logos/croppedimage-b8e7f550bc1843cc8da8b50882fdd1b5.png,https://cdn.helloasso.com/img/photos/croppedimage-4e76010855db46028a450064fc74997c.png,Priay,01160,Ain,Auvergne-Rhône-Alpes,Place Laurent Ferrand,46.003186,5.289893,Association1901,Humanitaire | Solidarité | Loisirs,,5,"Event, Donation, Membership",1710630000,1774896008,110,,bureauclaindoeil@gmail.com,0661386602
402339,RESEAU FRANCOPHONE DES CONSULTANTS EN SOMMEIL DE L'ENFANT,"Informer, Soutenir, Fédérer  Le Réseau Douce Nuit rend accessible des informations sûres concernant le sommeil de l’enfant et rassemble les consultants proposant une approche globale, respectueuse de la physiologie de l’enfant et du lien parent-enfant.",/associations/reseau-francophone-des-consultants-en-sommeil-de-l-enfant,https://cdn.helloasso.com/img/logos/croppedimage-8ff551c4b3534492bd9f5ba677b8eb02.png,https://cdn.helloasso.com/img/photos/croppedimage-68780b5e077f407bb48e3feacae38528.png,Beynost,01700,Ain,Auvergne-Rhône-Alpes,1583 Route de Genève,45.833779,4.99465,Association1901,Enfance | Formation | Education | Santé,,3,"Event, Membership",1684274400,1774870109,110,,contact@reseaudoucenuit.org,
488533,Cornhole Léman,Association Loi 1901 de Cornhole (Sport d'adresse),/associations/cornhole-leman,https://cdn.helloasso.com/img/logos/croppedimage-9f613108c55b4e3cbf7442e9fdeace78.png,https://cdn.helloasso.com/img/photos/croppedimage-7b33329abcdd43d096e48c103f6cafc4.png,Gex,01170,Ain,Auvergne-Rhône-Alpes,374 Rue des Aulnes,46.321479,6.060532,Association1901,Sport,,3,"Shop, Event, Membership",1710802800,1774966040,110,,contact@cornholeleman.com,
342541,SAP du Mas Rillier,"La SAP, société d’animation périscolaire, a pour but d’aider l’école du Mas Rillier et ses élèves. Ses recettes servent à: – Achat matériel scolaire – Participation aux frais pour des spectacles – Transport en autocar – Temps festifs à destination des enfants en dehors des journées d’école",/associations/sap-du-mas-rillier,https://cdn.helloasso.com/img/logos/croppedimage-dcf8d2b6c04a4b6b955f5b8ffe963db2.png,https://cdn.helloasso.com/img/photos/croppedimage-da965072249f4142ad723303e3d1ea2f.png,Miribel,01700,Ain,Auvergne-Rhône-Alpes,Chemin du Père Chadel,45.829917,4.944528,Association1901,Education | Enfance | Fête | Humanitaire | Solidarité,,2,"Event, Membership",1662760800,1774811989,110,,sapdumasrillier@gmail.com,0647101184
259097,Cessy Les Riverains de Chauvilly,Les Riverains de Chauvilly est une association loi 1901 de protection de l'environnement et de la qualité de vie des habitants. Depuis plusieurs mois nous nous mobilisons contre un projet de stockage de déchets sur une ancienne décharge à proximité des habitations (Gex). ,/associations/cessy-les-riverains-de-chauvilly,https://cdn.helloasso.com/img/logos/croppedimage-80ae03d069db40d78214f061b5ecff74.png,https://cdn.helloasso.com/img/photos/croppedimage-03f91b608b4d4cbba5f15daade09bdd1.png,Cessy,01170,Ain,Auvergne-Rhône-Alpes,350 Rue de la Mairie,46.316776,6.070098,Association1901Rig,Environnement | Ecologie et Environnement,Don,2,Donation,1620079200,1739459616,110,,Stopcarrierechauvilly@gmail.com,
