objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
405016,MAUBERT CYCLO MARCHE,"pratique de la marche, VTT et vélo de route ",/associations/maubert-cyclo-marche,https://cdn.helloasso.com/img/logos/croppedimage-01d9cc8a8dc64d8bb803a5baab8a6743.png,https://cdn.helloasso.com/img/photos/croppedimage-553517cadea0414bbc38ec9f1886a929.png,Maubert-Fontaine,08260,Ardennes,Grand Est,Place de la Mairie,49.867545,4.428227,Association1901,Sport | VTT | Vélo,,3,Event,1684879200,1775063068,110,,maubertcyclomarche@gmail.com,0645789362
535343,CLPE La Francheville,Le Comité Local des Parents d'Elèves La Francheville soutient financièrement les activités scolaires grâce aux événements organisés par l'association tout au long de l'année. Le CLPE fonctionne grâce à l'engagement des parents bénévoles et les habitants de la commune qui soutiennent les actions. ,/associations/clpe-la-francheville,https://cdn.helloasso.com/img/logos/croppedimage-e3ea9db9023b407ca4a1cc42e4040ec9.png,https://cdn.helloasso.com/img/photos/croppedimage-495618693cab4f1ea0fe8915fc5dad59.png,La Francheville,08000,Ardennes,Grand Est,5 Rue d'Evigny,49.72868,4.712461,Association1901,Education | Formation,,5,"Shop, Event",1727128800,1772199418,110,,clpelafrancheville08@outlook.fr,0621394373
171517,Rugby Club Vouziers,"Bienvenue sur la plateforme Helloasso du Rugby Club Vouziers ! Terre d’irréductibles Rugbymen et Rugbywomen au cœur de l’Argonne ardennaise. Nous espérons vous faire découvrir et partager notre passion pour ce magnifique sport et, pourquoi pas, vous voir prochainement parmi nous. A bientôt ...",/associations/rugby-club-vouziers,https://cdn.helloasso.com/img/logos/rugby club vouziers-024deb41053349a2acc9e646fb08a14f.png,https://cdn.helloasso.com/img/photos/croppedimage-fe622f9ae6f84bf995c8756b2c59243c.png,Vouziers,08400,Ardennes,Grand Est,9 Rue Charles Devendeville,49.401472,4.693393,Association1901Rup,Sport | Rugby,,4,"Shop, PaymentForm, Donation, Membership",1571263200,1774931403,110,,rugbyclubvouziers@gmail.com,0678623829
276685,TEAM A2L,"découverte de l'équitation ,animations, manifestations, concours d'Equitation",/associations/team-a2l,https://cdn.helloasso.com/img/logos/croppedimage-a3277d27827f434b9a73044a6df3fbde.png,https://cdn.helloasso.com/img/photos/croppedimage-93536a46c659485a930be56bdf6161a0.png,Bergnicourt,08300,Ardennes,Grand Est,chemin de la pierre,49.424144,4.248829,Association1901,Sport | Equitation,,1,Shop,1628460000,,110,,ecuriea2l@live.fr,0674659790
113061,Club sportif nouzonville ardennes,Je boxe donc je suis ...,/associations/club-sportif-nouzonville-ardennes,https://cdn.helloasso.com/img/logos/croppedimage-df002a9c226b48969e7607d927822531.png,https://cdn.helloasso.com/img/photos/croppedimage-77251020dcf04c5f999b62e4424e0608.png,Nouzonville,08700,Ardennes,Grand Est,BOITE POSTALE N°2,49.8137,4.7474,Association1901Rig,Sport | Boxe,,2,"Event, Donation",1535839200,1774648534,110,GoTombola,hamidzaim@hotmail.com,0621724545
582980,Ô' PAYS DES MERVEILLES,L’association permet de développer les services en faveur des enfants mais aussi des parents. Ici vous pourrez partager des moments magiques en famille!,/associations/o-pays-des-merveilles,https://cdn.helloasso.com/img/logos/croppedimage-d33c9125f1a749e28d4cd719ff154c9a.png,https://cdn.helloasso.com/img/photos/croppedimage-ddef9f049f6d47bab0c6ec407ce226ed.png,Charleville-Mézières,08000,Ardennes,Grand Est,34 rue de Warcq,49.763646,4.700167,Association1901,Enfance | Humanitaire | Solidarité | Solidarité et Action Sociale,,17,"CrowdFunding, Event, Membership",1744236000,1774885516,110,,contact@o-pays-des-merveilles.fr,0670578009
246932,Les amis de l'abbaye de Chéhéry ,"Promouvoir la mise en valeur et la sauvegarde du monument, par tous les moyens mis à sa disposition en mettant en œuvre des projets lui permettant d’être ouvert au public, en organisant et planifiant des manifestations à caractère culturel au sein de l’abbaye.",/associations/les-amis-de-l-abbaye-de-chehery,https://cdn.helloasso.com/img/logos/croppedimage-091316b9240a4aeab0c14260987e3d7a.png,https://cdn.helloasso.com/img/photos/croppedimage-65b7df9a1ad046e8ac8cc77bc7dd2791.png,Chatel-Chéhéry,08250,Ardennes,Grand Est,Abbaye de Chéhéry,49.280701,4.956367,Association1901,Patrimoine | Culture | Monuments,,3,"Event, Membership",1613343600,1774891547,110,,amis.abbaye@chehery.com,0620335066
347146,TECH'N CO,L'association Tech'n Co est un organisme qui représente et anime la vie des étudiants de Charleville-Mézières.,/associations/tech-n-co,https://cdn.helloasso.com/img/logos/croppedimage-db4ca42e6566468080a6f1e29c6bb81e.png,https://cdn.helloasso.com/img/photos/croppedimage-5066432a9c2f4f82943773dfa253505d.png,Charleville-Mézières,08000,Ardennes,Grand Est,4 Boulevard Jean Delautre,49.739324,4.718515,Association1901,Étudiants | Réseaux pros et étudiants,,5,"Event, Membership",1664488800,1774978055,110,,asso.technco@gmail.com,
329523,L'AIR LIBRE,"Association de danses aériennes, venez apprendre à pratiquer le tissu aérien, venez danser, et vous envoler avec nous  !!  ",/associations/l-air-libre,https://cdn.helloasso.com/img/logos/croppedimage-bb08eed9715e45489a94ad2679f05991.png,https://cdn.helloasso.com/img/photos/croppedimage-8aa3a121abce48ef86a67ecc4369c1a8.png,Charleville-Mézières,08000,Ardennes,Grand Est,Rue Félicien Wautelet,49.752387,4.720715,Association1901,Danse | Sport,,3,"Shop, Event, Membership",1655330400,1774257829,110,Team Pulse,lairlibre.asso@gmail.com,0770401694
355469,Jeunesse Sapognarde ,Association de Jeunesse de Sapogne-et-Feuchères.,/associations/jeunesse-sapognarde,https://cdn.helloasso.com/img/logos/croppedimage-db95fc0e46d74e83b52d26e45b5d6c65.png,https://cdn.helloasso.com/img/photos/croppedimage-881e6d468d784e0dbc82dcea8ab60f5e.png,Sapogne-et-Feuchères,08160,Ardennes,Grand Est,23 Grande Rue,49.660228,4.796089,Association1901,Solidarité et Action Sociale | Humanitaire | Solidarité,,2,Event,1667862000,1774977727,110,OHME,contact@jeunessesapognarde.fr,0695906146
309508,APEL Ecole Notre Dame Rethel,Association des parents d'élèves de l'enseignement libre de l'école Notre Dame de Rethel.,/associations/apel-ecole-notre-dame-rethel,https://cdn.helloasso.com/img/logos/croppedimage-54c8856f157d488693cf9d28cf6da486.png,https://cdn.helloasso.com/img/photos/croppedimage-77ae31f4775f4509ac4e955c1f80764e.png,Rethel,08300,Ardennes,Grand Est,10 Rue Thiers,49.50574,4.368497,Association1901,Education | Enseignement | Formation | Parents d'élèves,,25,"Shop, PaymentForm",1646521200,1774965924,110,,fannyludinart@gmail.com,0660151366
408509,Nanteuil Animation,Nanteuil Animation a pour vocation l'animation du village de Nanteuil sur Aisne mais également l'organisation de la Fête des Enfants organisée chaque 2ème dimanche de septembre. La Fête des Enfants propose 110 ateliers pour les enfants de 2 à 15 ans répartis sur tous le village de 10h à 18h. ,/associations/nanteuil-animation,https://cdn.helloasso.com/img/logos/croppedimage-d41ea7226aba4003996ab55bf8f983bf.png,https://cdn.helloasso.com/img/photos/croppedimage-3d08708c440f4ed8966e5039df4c2cf4.png,Nanteuil-sur-Aisne,08300,Ardennes,Grand Est,1 Place de la Mairie,49.512495,4.30163,Association1901,Enfance | Fête | Loisirs,,3,Membership,1686002400,1745573903,110,,theolecler@hotmail.fr,0621523817
572274,Rotary Club Fumay - Vallée de la Meuse,"Le Rotary est un réseau mondial de plus de 1,2 million de décideurs solidaires qui voient un monde où les gens se rassemblent et passent à l’action pour apporter un changement durable — dans le monde, dans leur communauté et en eux-mêmes.",/associations/rotary-club-fumay-vallee-de-la-meuse,https://cdn.helloasso.com/img/logos/croppedimage-d7ff99293d4140b1b0e28a699e662c1d.png,https://cdn.helloasso.com/img/photos/croppedimage-7be4b52f08a042dfa253c33f0568ae4b.png,Haybes,08170,Ardennes,Grand Est,Rue du Rivage,50.009873,4.705534,Association1901Rig,Caritatif | Humanitaire | Solidarité et Action Sociale,,1,Event,1740178800,1774615964,110,,contact@rotaryfumay.club,
364348,danse plurielle revin,"Nous sommes une association de Danse qui existe puis plus de 50 ans. Nous mettons un point d'honneur à enseigner la discipline de la danse Classique qui est pour nous essentiel à l'apprentissage de tout autres danses. Mais nous enseignons aussi le Jazz, le Jazz Broadway, le Street Jazz et le Hip Hop",/associations/danse-plurielle-revin,https://cdn.helloasso.com/img/logos/croppedimage-c9c8e569e8ec48ce803de411de3d0bd4.png,https://cdn.helloasso.com/img/photos/croppedimage-81a8e72057b94997999f0627f3ae4976.png,Revin,08500,Ardennes,Grand Est,170 Rue Léon Blum,49.938244,4.629438,Association1901,Arts | Culture | Danse | Enseignement | Hip-hop | Jazz | Arts et Culture,,10,"Shop, Event, Membership",1671404400,1775043082,110,,roulle_mov@yahoo.fr,0679270130
366441,CPTS du Rethélois et Alentours,Communauté Pluriprofessionnelle Territoriale de Santé du Rethélois et Alentours,/associations/cpts-du-rethelois-et-alentours,https://cdn.helloasso.com/img/logos/croppedimage-66ff1dbbb2104f4a870b86d89810e2be.png,https://cdn.helloasso.com/img/photos/croppedimage-ff81c62b3b4a4e849938ba17461bb364.png,Rethel,08300,Ardennes,Grand Est,1 Place Hourtoule,49.510558,4.36394,Association1901,Étudiants | Santé,,1,Membership,1672786800,1774361184,110,,,
