objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
520026,VIVRE EN FORMES,"Vivre En Formes est une association destinée aux personnes en situation de surpoids ou d'obésité, qui propose à ses adhérents des activités physiques adaptées, des activités de bien-être, des groupes de paroles, en vue de restaurer l'estime de soi et la confiance en soi.",/associations/vivre-en-formes,https://cdn.helloasso.com/img/logos/croppedimage-53e57f9ef3654cb0a99311cb0af9f1f9.png,https://cdn.helloasso.com/img/photos/croppedimage-3bf8a8bcf13c444ba9bcf2e0d28fb5d4.png,Pau,64000,Pyrénées-Atlantiques,Nouvelle-Aquitaine,4 rue du pesquit,43.323503,-0.346112,Association1901,Handicap | Humanitaire | Solidarité | Santé,,2,Event,1720994400,1774984106,110,,asso.vivreenformes@gmail.com,
341151,COTE BASQUE HANDBALL,"Côte Basque Handball: 3 équipes féminines avec les U18 en championnat Elite Régionale, l'équipe 2 en championnat de France N3F et l'équipe 1 en championnat de France N1F",/associations/cote-basque-handball,https://cdn.helloasso.com/img/logos/croppedimage-53ff5369fed54a88b24b8b34f604f2f5.png,https://cdn.helloasso.com/img/photos/croppedimage-a6d853fc4637464b8677c4b71709be14.jpg,Anglet,64600,Pyrénées-Atlantiques,Nouvelle-Aquitaine,107 Avenue de l' Adour,43.513091,-1.500369,Association1901,Sport | Handball,,2,Event,1662242400,1774980231,110,FFHB,entente.cotebasquehandball@gmail.com,0674411988
365794,Music Hall'Lycée,"Cette association a pour objet de faire connaître et promouvoir les pratiques musicales collectives, dans et hors des établissements scolaires, notamment lors de rencontres du premier et second degrés ayant pour but la création de spectacles vivants. ",/associations/music-hall-lycee,https://cdn.helloasso.com/img/logos/croppedimage-b8e24248678c421891fd0640db7f725a.png,https://cdn.helloasso.com/img/photos/croppedimage-7ee41d4d3afe4e06a4ff5df28ecd5c21.png,Oloron-Sainte-Marie,64400,Pyrénées-Atlantiques,Nouvelle-Aquitaine,1 Rue du Pic d'Anie,43.182382,-0.610741,Association1901Rig,Arts | Formation | Musique,,9,"Event, Donation, Membership",1672354800,1774986130,110,,musichall.lycee@gmail.com,0618017328
212607,Bidart Ocean Club,"L’association Bidart Océan Club (BOC) est le club de sauvetage côtier de Bidart . Elle a pour objet de diffuser entre tous ses membres les techniques et les connaissances dans le domaine du Sauvetage, Secourisme et des missions de sécurité civile.",/associations/bidart-ocean-club,https://cdn.helloasso.com/img/logos/croppedimage-b58934eb4a894b4d95b3bf1ca331912c.png,https://cdn.helloasso.com/img/photos/croppedimage-dccb8fded8ef46eda7c25401764fd78e.jpg,Bidart,64210,Pyrénées-Atlantiques,Nouvelle-Aquitaine,20 Rue de L 'Uhabia,43.435401,-1.595748,Association1901,Premiers secours | Sécurité | Sport,Sudouest,12,"Donation, Shop, Event, PaymentForm, Membership",1594764000,1774970668,110,Team Pulse,contact@bidartoceanclub.fr,0770700811
337438,FCO Rugby,Association sportive à but non lucratif dédiée à la pratique du Rugby,/associations/fco-rugby,https://cdn.helloasso.com/img/logos/croppedimage-91e74b121c15404cbbf210244f8a65de.png,https://cdn.helloasso.com/img/photos/croppedimage-c64f73469b2840d1a0d1397d517b3185.png,Oloron-Sainte-Marie,64400,Pyrénées-Atlantiques,Nouvelle-Aquitaine,Avenue du Corps Franc Pommiès,43.185821,-0.626382,Association1901Rig,Sport | Rugby,Don,5,"Event, Donation, Membership",1659736800,1774124097,110,,fco-rugby@orange.fr,0559390201
52437,Integrazio Batzordea,Ahalmen urritasun egoeran diren Seaskako ikasle eta familien sustengua / Un soutien aux  élèves et en situation de handicap scolarisés à Seaska ainsi qu'aux familles. ,/associations/integrazio-batzordea,https://cdn.helloasso.com/img/logos/integrazio batzordea-90829d1453574b07b0a3d0967993f30f.jpg,https://cdn.helloasso.com/img/photos/croppedimage-2d296c48b1574339ba2d4ccdad836413.png,Cambo-les-Bains,64250,Pyrénées-Atlantiques,Nouvelle-Aquitaine,41 Avenue d'Espagne,43.357927,-1.407656,Association1901Rig,Handicap | Humanitaire | Solidarité | Solidarité et Action Sociale,,2,"Shop, Donation",1472767200,1774969232,110,,info@integrazio-batzordea.eus,33559858924
329953,LONS BASKET,"Le club LONS BASKET a été créé en 1997. Un club convivial, familial et formateur.  Avec plus de 300 licenciés, le club propose des équipes sur des filières féminines et masculines, au niveau Département et Région.",/associations/lons-basket,https://cdn.helloasso.com/img/logos/croppedimage-22bb15f03c6b42f3a29dace7784b4d67.png,https://cdn.helloasso.com/img/photos/croppedimage-6a117d62e6314f58884477eca4e98ed4.jpg,Lons,64140,Pyrénées-Atlantiques,Nouvelle-Aquitaine,1 Mail Coubertin,43.323846,-0.392998,Association1901Rig,Basketball | Formation | Sport,,8,"Donation, Shop, Event, PaymentForm, Membership",1655416800,1774992456,110,FFBB | BasicCompta,secretariat@lonsbasket.fr,0769809516
426959,Les Productions Goblin Tone Studio ,"Le Goblin Tone Studio est une association proposant un studio d’enregistrement et un local de répétition. Spécialiste Metal et Rock, nous proposons des solutions pour alléger au maximum votre budget.",/associations/les-productions-goblin-tone-studio,https://cdn.helloasso.com/img/logos/croppedimage-805c7d63ad674fe7913d53faef8c2ec1.png,https://cdn.helloasso.com/img/photos/croppedimage-7a701969df4649a49b6b44067cc30746.png,Urost,64160,Pyrénées-Atlantiques,Nouvelle-Aquitaine,738 Chemin du Bois,43.343079,-0.151367,Association1901,Arts | Culture | Rock | Musique,,1,Membership,1693346400,,110,,contact@goblintonestudio.fr,0607484878
574278,Club Léo Lagrange Bayonne,"En quelques mots... Le Club Léo Lagrange de Bayonne, association loi 1901 reconnue d'Intérêt Général, a pour ambition de permettre à chacun de s’épanouir au travers d’activités sportives, culturelles et de loisirs.    ",/associations/club-leo-lagrange-bayonne,https://cdn.helloasso.com/img/logos/croppedimage-373f9a10d0ca41af9c562cf1cac148c4.png,https://cdn.helloasso.com/img/photos/croppedimage-dbc4d84b32c34e308a6e2849f8c57496.png,Bayonne,64100,Pyrénées-Atlantiques,Nouvelle-Aquitaine,5 Chemin de Mousserolles,43.490646,-1.468581,Association1901,Culture | Sport,,10,"Shop, Membership",1741042800,1774955832,110,,clubleolagrangebayonne@gmail.com,0559593379
113658,Animaux Assistance Europe,"Animaux Assistance Europe est une association de loi 1901, gestionnaire de la fourrière Txakurrak, d'un refuge de protection animale et d'une pension canine.",/associations/animaux-assistance-europe,https://cdn.helloasso.com/img/logos/croppedimage-6662a2bb1bcf4de9a4c6860aa32298e5.png,https://cdn.helloasso.com/img/photos/croppedimage-34811ae530e74e75ba3a12927718f7e5.jpg,Bayonne,64100,Pyrénées-Atlantiques,Nouvelle-Aquitaine,"62, Chemin de Loustaounaou",43.503402,-1.423907,Association1901Rig,Animaux | Chiens | Environnement,Sudouest | Don,11,"Shop, Donation, PaymentForm, Event",1536530400,1774972851,110,,animaux-assistance-europe@wanadoo.fr,0559552590
