objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
290360,APE DE LAFOX,"L'Association des Parents d'Élèves de Lafox a pour vocation de développer le lien et les interactions entre les différents acteurs du groupe scolaire Jean-Irénée Lagnoux (parents, enfants, enseignants, ATSEM, mairie) par différentes actions à vocation culturelle, artistique, festive ou sociale.",/associations/ape-de-lafox,https://cdn.helloasso.com/img/logos/croppedimage-a8be394c157648dcbfa0645ff4dfd7d3.png,https://cdn.helloasso.com/img/photos/croppedimage-f445c970a1eb4024976de0bf10f5c0f0.png,Lafox,47240,Lot-et-Garonne,Nouvelle-Aquitaine,Rue des Ecoles,44.16728,0.702143,Association1901Rup,Education | Arts | Culture | Enfance | Enseignement | Formation | Fête | Parents d'élèves,,6,"Shop, Event, PaymentForm, Donation",1636066800,1774974025,110,Infolocale,ape.lagnoux@gmail.com,
586440,GASCON BIKE & RUN (G.B.R.),"Tu aimes le sport nature, le partage, la découverte, les défis ?... …Et les bonnes actions ? Alors les Gascons sont là pour toi !!!",/associations/gascon-bike-run-g-b-r,https://cdn.helloasso.com/img/logos/croppedimage-3e85fe361571490bb60d5b35f39f776c.png,https://cdn.helloasso.com/img/photos/croppedimage-6bd78a593fff4f6f8a7e1ad43ba47145.png,Puch-d’Agenais,47160,Lot-et-Garonne,Nouvelle-Aquitaine,195 rue Jean Messines,44.328964,0.242766,Association1901,Sport,,4,"Shop, Event, Membership",1745791200,1774814293,110,,gascon.bikerun@gmail.com,
233496,Association Grupo Azul,L’association GRUPO AZUL accompagne les activités artistiques et pédagogiques de la compagnie professionnelle OPER’AZUL et organise un festival annuel de musique le FESTIV’AZUL.,/associations/association-grupo-azul,https://cdn.helloasso.com/img/logos/croppedimage-3746c2eeb65349ada58d84e2d497eaa0.png,https://cdn.helloasso.com/img/photos/croppedimage-7e0d689b2d054858b89564ba1df131ea.png,Villeneuve-sur-Lot,47300,Lot-et-Garonne,Nouvelle-Aquitaine,54 Rue de Coquard,44.40113,0.699981,Association1901,Arts | Culture | Musique,,4,"Shop, Event, Donation, Membership",1606863600,1774794560,110,,cie.operazul@gmail.com,
558476,ASSOCIATION SPORTIVE POLICE DE L'AGENAIS,ASSOCIATION SPORTIVE POLICE DE L'AGENAIS,/associations/association-sportive-police-de-l-agenais,https://cdn.helloasso.com/img/logos/croppedimage-8fb71b1b34e841b98e94b29ceffd8d1d.png,https://cdn.helloasso.com/img/photos/croppedimage-a5f401f2f5244d76a883906641e857a6.png,Agen,47000,Lot-et-Garonne,Nouvelle-Aquitaine,2 Rue Palissy,44.200215,0.612279,Association1901,Sport,,1,Event,1735167600,1774724297,110,,aspagen47@gmail.com,0553681700
622887,CODELIAPP,"Collectif de Coordination pour la Défense de la ligne SNCF Agen - Périgueux - Paris. Promotion, défense et modernisation de notre ligne de vie en Dordogne/Lot-et-Garonne.",/associations/codeliapp,https://cdn.helloasso.com/img/logos/croppedimage-71eb2e5fddfe4ab6833aa17de0e9eafc.png,https://cdn.helloasso.com/img/photos/croppedimage-09164640f35b4881a94bab2b578afc0e.jpg,Monsempron-Libos,47500,Lot-et-Garonne,Nouvelle-Aquitaine,Place de la Mairie,44.491203,0.940088,Association1901,Humanitaire | Solidarité | Solidarité et Action Sociale,,1,Membership,1760911200,1774864791,110,,codeliapp@gmail.com,
283773,Club Ovalie Pont du Casse,Pratique du rugby à partir de 3 ans,/associations/club-ovalie-pont-du-casse,https://cdn.helloasso.com/img/logos/croppedimage-4f67eb2033c04c1c959879fcf27b61ff.png,https://cdn.helloasso.com/img/photos/croppedimage-76a6bf57d075475ba624ee4cfb8b8ce3.png,Pont-du-Casse,47480,Lot-et-Garonne,Nouvelle-Aquitaine,Mairie Place Jean François Poncet,44.231804,0.680753,Association1901,Sport | Rugby,,4,Event,1632348000,1774867451,110,,copxvrugby@gmail.com,0769301136
57946,Calandreta Jansemineta,"La Calandreta Jansemineta est une école associative, laïque, gratuite, en immersion linguistique en occitan et en pédagogie institutionnelle.",/associations/calandreta-jansemineta,https://cdn.helloasso.com/img/logos/calandreta-jansemineta.jpg,https://cdn.helloasso.com/img/photos/102694.JPG,Agen,47000,Lot-et-Garonne,Nouvelle-Aquitaine,impasse Frédéric Mistral,44.207769,0.642609,Association1901Rig,Education | Formation,Don,3,"Event, Donation, Membership",1485730800,1774612274,110,BasicCompta,asso.perdoman@yahoo.fr,07 83 15 72 77
218946,"Société des amis de Clairac, Patrimoine et Histoire ","Cette association a pour but de concourir au rayonnement culturel de Clairac (47320, Lot-&-Garonne), de son histoire et de son patrimoine, de développer, promouvoir et soutenir des manifestations culturelles et la diffusion des connaissances sur Clairac. Adhérez ! https://amisdeclairac.com  ",/associations/societe-des-amis-de-clairac-patrimoine-et-histoire,https://cdn.helloasso.com/img/logos/croppedimage-c1fc7e881c1b4bb4bb8a8811e36b02da.png,https://cdn.helloasso.com/img/photos/croppedimage-a3d3630506d74026b6fa5c498cf62c2e.png,Clairac,47320,Lot-et-Garonne,Nouvelle-Aquitaine,7 Place Serres,44.359713,0.377626,Association1901Rig,Arts | Culture | Patrimoine,,6,"Event, Donation, Membership",1599602400,1771795451,110,,contact@amisdeclairac.com,0682336190
33256,JUSTINE & CO ASSOCIATION POUR LA PROTECTION ANIMALE EN LOT-ET-GARONNE,"Justine & Co, protection animale dans le 47",/associations/justine-co-association-pour-la-protection-animale-en-lot-et-garonne,https://cdn.helloasso.com/img/logos/justine-co.jpg,https://cdn.helloasso.com/img/photos/croppedimage-c68bd1e59817445a8378a5693fe86160.png,Nérac,47600,Lot-et-Garonne,Nouvelle-Aquitaine,1 Pl du General Charles de Gaulle,44.135199,0.339173,Association1901Rig,Humanitaire | Solidarité | Animaux,Don,3,"Donation, Membership",1426978800,1774630823,110,,justineandco@hotmail.com,0783207423
550248,Baseball Club Agenais BCA,"Aux Baseball Club Agenais, nous accueillons dès 6 ans enfants, ados et adultes pour une pratique mixte du baseball et du softball. Dans une ambiance conviviale et sportive, chacun progresse à son rythme en développant esprit d’équipe et plaisir du jeu.",/associations/baseball-club-agenais-bca,https://cdn.helloasso.com/img/logos/croppedimage-09f9f4a993e44fe4ab0cb177aab95255.jpg,https://cdn.helloasso.com/img/photos/croppedimage-c88822e58d9c400fa68522ea6a9be034.png,Agen,47000,Lot-et-Garonne,Nouvelle-Aquitaine,148 Rue Lagravere,44.210435,0.61731,Association1901,Sport | Baseball,,2,"Donation, Membership",1731798000,1733082739,110,FFBS,jabathehutis486@gmail.com,0769373902
