objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
96209,ASPAS - Association pour la protection des animaux sauvages,"L’ASPAS est une association non-gouvernementale (ONG) agréée pour la protection de la nature au titre de l’article L. 141-1 du Code de l’environnement et reconnue d’utilité publique depuis 2008. Association sans but lucratif, elle se bat pour le respect de la faune sauvage et de la nature.",/associations/aspas-association-pour-la-protection-des-animaux-sauvages,https://cdn.helloasso.com/img/logos/aspas-association-pour-la-protection-des-animaux-sauvages-fa34e2c25a4b4f64b9830c738e5e86c9.jpg,https://cdn.helloasso.com/img/photos/croppedimage-01047fc937ad4936b61eb972ec264c2c.png,Crest,26400,Drôme,Auvergne-Rhône-Alpes,928 Chemin de Chauffonde,44.735365,4.986098,Association1908Rup,Ecologie et Environnement | Environnement,,5,"Donation, Membership",1523484000,1774976306,110,,contact@aspas-nature.org,0475251000
222086,Romans Tennis Club,"RTC, le club pour tous, convivial et compétitif.",/associations/romans-tennis-club,https://cdn.helloasso.com/img/logos/croppedimage-22657918bb444c9f9b535a3f8c751f3f.png,https://cdn.helloasso.com/img/photos/croppedimage-126df617deaa47ffb5038bc786534f7a.png,Saint-Paul-lès-Romans,26750,Drôme,Auvergne-Rhône-Alpes,Impasse Roland Garros,45.064076,5.095818,Association1901Rig,Sport,Octobre-rose,13,Event,1601244000,1774965246,110,FFT,rafvinson@gmail.com,0641684681
634476,BRIQUES ET BARBOTINE,"Briques&Barbotine est une passerelle entre artisanat et technologie, entre tradition et modernité, matière et numérique. Elle propose des ateliers et des projets éducatifs, créatifs et culturels, destinés aux familles et aux publics de tous âges, autour de la céramique et de la robotique ludique.  ",/associations/briques-et-barbotine,https://cdn.helloasso.com/img/logos/croppedimage-43c1bdce73b54aa597bcb29afdcb370e.png,https://cdn.helloasso.com/img/photos/croppedimage-0c8ca15eb6474a989f0aa2616121631c.png,Malataverne,26780,Drôme,Auvergne-Rhône-Alpes,135 impasse Bravadis,44.48674,4.75005,Association1901,Artisanat | Arts | Culture | Informatique | Technologie | Arts et Culture,,22,"Event, Membership",1765234800,1774955944,110,,briquesetbarbotine@gmail.com,0621607530
320076,BC Portois,"Club de BMX, affilié à la FFC, basé à Portes les Valence.",/associations/bc-portois,https://cdn.helloasso.com/img/logos/croppedimage-11bae06bfdf84fb49adcc1cf2e8ef768.png,https://cdn.helloasso.com/img/photos/croppedimage-bd8d3636f5cf4ea4a15ff6fcfcac4af1.jpg,Portes-lès-Valence,26800,Drôme,Auvergne-Rhône-Alpes,Route de Monerit,44.862205,4.886757,Association1901,Sport | BMX,,10,"Shop, Event, Membership",1651442400,1774939383,110,,contact@bmxporteslesvalence.fr,0613687597
357349,APEL Sainte Thérèse BLV,"L'Association des Parents d'élèves de l'Enseignement Libre de l'école de Sainte Thérèse à Bourg-Les-Valence, à travers ses événements et ses ventes, contribue au financement des activités éducatives et à l'épanouissement des élèves de l'établissement.",/associations/apel-sainte-therese-blv,https://cdn.helloasso.com/img/logos/croppedimage-00a61c5b2a584f13b537d12fd40be985.png,https://cdn.helloasso.com/img/photos/croppedimage-194843fdea954d7b80c17588a983f5bc.png,Bourg-lès-Valence,26500,Drôme,Auvergne-Rhône-Alpes,10 Boulevard du General de Gaulle,44.940027,4.893738,Association1901,Education | Enseignement | Formation | Parents d'élèves,,2,Shop,1668639600,1774968898,110,,apel.blv.therese@gmail.com,0475435860
339067,CENTRE RESSOURCE MONTELIMAR,FOULEE RESSOURCE 2025   INSCRIPTIONS TRAIL  www.sportsnconnect.com   INSCRIPTIONS RANDONNEE https://www.helloasso.com/associations/rando-des-15/evenements/journee-ressource,/associations/centre-ressource-montelimar,https://cdn.helloasso.com/img/logos/croppedimage-f07397a219ac47e9ac6520ac0777cfb7.png,https://cdn.helloasso.com/img/photos/croppedimage-c9529ed0e9784c2dbb0fb326d8e58c6e.jpg,Montélimar,26200,Drôme,Auvergne-Rhône-Alpes,7 Avenue du Meyrol,44.573442,4.743377,Association1901Rig,Humanitaire | Randonnée | Solidarité | Trail | Solidarité et Action Sociale,Octobre-rose,3,"Event, Donation",1661119200,1773235534,110,,contact@centre-ressource-montelimar.org,0475548733
641052,COMITE DES FETES DE SAINT PAUL LES ROMANS,"Notre superbe équipe du comité des fêtes organise des évènements tout au long de l'année (loto ,corso, salon des indépendants, bal des reines) et vous accueille pour son corso qui anime le village pour beaucoup de partage, fête et amitié. 4 mois de folles constructions de chars.  ",/associations/comite-des-fetes-de-saint-paul-les-romans,https://cdn.helloasso.com/img/logos/croppedimage-45788aef8f2e4533bc49a46e3a063a28.png,https://cdn.helloasso.com/img/photos/croppedimage-ce3f61770edd4ac88c92186088262c78.png,Saint-Paul-lès-Romans,26750,Drôme,Auvergne-Rhône-Alpes,50 Rue du Colombier,45.065649,5.131294,Association1901,Fête | Loterie | Loisirs,Comites-des-fetes,1,Event,1768518000,1774957417,110,,,
473720,comité des fêtes Clérieux ,"Le Comité des Fêtes de Clérieux anime la vie locale de son village avec passion. Organisant des événements festifs comme notre célèbre fête au village, il unit la communauté dans la joie et le partage, renforçant ainsi les liens sociaux et perpétuant la tradition depuis 50 ans.",/associations/comite-des-fetes-clerieux,https://cdn.helloasso.com/img/logos/croppedimage-1b71253b8d4546a682754c53fb3bb6fc.png,https://cdn.helloasso.com/img/photos/croppedimage-db8754868d9b408cb247676cb0766ee0.jpg,Clérieux,26260,Drôme,Auvergne-Rhône-Alpes,12 Place Henri Bossanne,45.076416,4.959324,Association1901,Fête | Loisirs,Comites-des-fetes,1,Event,1707346800,1774972156,110,,comitedesfetes.clerieux@gmail.com,0787739803
345978,NOUSSOMMES,NOUS SOMMES est une association loi 1901. Elle a pour objectif la prévention des violences sexistes et sexuelles à travers un travail pédagogique et inclusif à destination des hommes.  www.collectifnoussommes.com,/associations/noussommes,https://cdn.helloasso.com/img/logos/croppedimage-c2087f3b5841411e8595c87d00a4125b.png,https://cdn.helloasso.com/img/photos/croppedimage-7ae56f766808473cb74ee1a884288222.png,Crest,26400,Drôme,Auvergne-Rhône-Alpes,1 Rue Courre Commere,44.7283,5.023553,Association1901,Solidarité et Action Sociale | Humanitaire | Solidarité,,18,"Event, Membership",1664143200,1774959786,110,Infolocale,collectifnoussommes@pm.me,0687570432
331919,Higher Montaigu,L'association a pour but de promouvoir la pratique de la langue anglaise tout en créant du lien social.,/associations/higher-montaigu,https://cdn.helloasso.com/img/logos/croppedimage-3048d46a445849a0bd23c91f17e1fc67.png,https://cdn.helloasso.com/img/photos/croppedimage-6128179668ab4af19ec84fb43295c487.png,La Chapelle-en-Vercors,26420,Drôme,Auvergne-Rhône-Alpes,Place Maison des Associations,44.968471,5.414278,Association1901,Langues étrangères | Education,,4,"Event, Membership",1656280800,1774816981,110,cmo,,
