objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
474224,VANA Production,"La VANA Production est une association de spectacle vivant pour tous les âges comprenant 5 branches : la troupe VANA Production, la troupe VANA Ciné-Vivant, les cours VANA Théâtre, les cours VANA Academy et les cours VANA Sport. Ces 5 branches regroupent plus d'une centaine d'adhérents de 5 à 70ans",/associations/vana-production,https://cdn.helloasso.com/img/logos/croppedimage-33c48412fe4d40f78e572ad94cf8de70.png,https://cdn.helloasso.com/img/photos/croppedimage-714f64ee539e41e0a2c7bcf72f61d538.png,Cerny,91590,Essonne,Île-de-France,11ter Rue René Damiot,48.476495,2.326484,Association1901,Arts | Culture | Théâtre | Arts et Culture,,15,Event,1707433200,1774948839,110,,contact@vanaproduction.com,0614063798
61435,CPME 91,Confédération des Petites et Moyennes Entreprises de l'Essonne Organisation patronale,/associations/cpme-91,https://cdn.helloasso.com/img/logos/croppedimage-a917cb29521b47789d7b04f792409cc4.png,https://cdn.helloasso.com/img/photos/croppedimage-0d8999b679b54dca8ddefce99440e4f4.png,Évry,91000,Essonne,Île-de-France,7 Rue Montespan,48.632828,2.435596,Association1901,Humanitaire | Solidarité | Réseaux pros et étudiants,,4,"Event, Membership",1491429600,1774877814,110,OHME,contact@cpme91.fr,0169363389
162412,CEN (Comité Exécutif National),CEN organise la RNS (Rencontre Nationale Sportive),/associations/cen-comite-executif-national,https://cdn.helloasso.com/img/logos/cen comite executif national-0bbb1d3c9f3e481e9cf5065f8af7c3af.jpg,https://cdn.helloasso.com/img/photos/presentation be-ca-2019-2022-76d4c7133f7c4e32be954013add4a988.png,Corbeil-Essonnes,91100,Essonne,Île-de-France,14 Rue Raymond Rozier,48.599405,2.465976,Association1901,Humanitaire | Solidarité | Solidarité et Action Sociale,,20,"Event, PaymentForm, Donation, Membership",1565301600,1774951096,110,,cen.rns@gmail.com,0686254136
520684,Show Must Go On,"SHOW MUST GO ON veut promouvoir l'échange culturel dans toutes ses formes par le biais de l'art, la danse, le chant et le théâtre ; mais aussi grâce aux festivals, concerts, soirée et gala ; elle a aussi pour but de contribuer à l'émancipation et aux divertissements de la jeunesse.",/associations/show-must-go-on,https://cdn.helloasso.com/img/logos/croppedimage-6ece005a631044baaf4180cb4dc6d652.png,https://cdn.helloasso.com/img/photos/croppedimage-dfb6880c03fa4e33bb0b80b8ac5122ee.png,Ris-Orangis,91130,Essonne,Île-de-France,87 Route de Grigny,48.652166,2.398489,Association1901Rig,Arts | Chant | Culture | Danse | Théâtre | Arts et Culture,,3,"Shop, Event, Membership",1721340000,1774946921,110,Infolocale | OHME,smgo.prod@gmail.com,0629101751
542621,CMOM Section Gymnastique,"Nous nous définissons comme un club de gymnastique artistique, familial doté de plusieurs pôles : Le sport adapté, la gym loisirs dès 2ans, la gym compétition et le fitness pour les adultes. Nous avons plus de 700 adhérents et une belle équipe de bénévoles et d'encadrants. Alors rejoignez nous!",/associations/cmom-section-gymnastique,https://cdn.helloasso.com/img/logos/croppedimage-516ff38431a747e8849ceac82e4e816a.png,https://cdn.helloasso.com/img/photos/croppedimage-5ff63854aecd466ca551fdaf27246939.png,Morangis,91420,Essonne,Île-de-France,3 Rue Colette Besson,48.706757,2.338866,Association1901Rig,Sport | Arts | Fitness | Gymnastique,,1,Shop,1729202400,1774891148,110,BasicCompta,clubgymcm@gmail.com,
369749,ASSOCIATION CULTURE ET LOISIRS DE PARIS JARDINS,"Située à Draveil l'association CLPJ a pour objectif l'animation culturelle et sportive de Paris Jardins , la convivialité, le dynamisme de la cité coopérative et la préservation du patrimoine commun (programme d'entretien et de travaux des salles dont l'association a la charge) ",/associations/association-culture-et-loisirs-de-paris-jardins,https://cdn.helloasso.com/img/logos/croppedimage-33bef546110a4b51bffa143f57801486.png,https://cdn.helloasso.com/img/photos/croppedimage-32f50a9585d947a9a15162db7a04fc7c.png,Draveil,91210,Essonne,Île-de-France,château de paris-jardins,48.687335,2.407423,Association1901,Patrimoine | Culture | Jardinage,,12,"Shop, Event, Membership",1673910000,1774944197,110,,clpj@paris-jardins.fr,0637242760
163856,Réseau des 2 Vallées ( R2V),Le R2V est le réseau des chefs d'entreprise implantés sur la CC2V. Il a été créé en 2013. Il a pour but de : Favoriser les relations entre les entreprises du territoire et l'ouverture de nouveaux marchés Faciliter les relations avec les collectivités  Organiser des interventions et formations,/associations/reseau-des-2-vallees-r2v,https://cdn.helloasso.com/img/logos/croppedimage-0ee49e0722ae41b18b9073ef0092f364.png,https://cdn.helloasso.com/img/photos/croppedimage-4a03905878e84983806ddaf832d8b66d.png,Milly-la-Forêt,91490,Essonne,Île-de-France,23 Rue de la Chapelle Saint Blaise,48.399442,2.476354,Association1901,Formation | Étudiants | Réseaux pros et étudiants,,2,"Event, Membership",1566856800,1774947692,110,,contact@r2v.eu,0622254234
210327,Montabloc,Club de Montagne et d'escalade en Essonne,/associations/montabloc,https://cdn.helloasso.com/img/logos/croppedimage-81b3be3388bf4464a27498b8f0e77bf2.png,https://cdn.helloasso.com/img/photos/croppedimage-8ce99a255048427aad78c34c560a5b0c.png,Draveil,91210,Essonne,Île-de-France,33 Rue du Muguet,48.681527,2.41794,Association1901,Sport | Escalade,,37,"Donation, Shop, Event, PaymentForm, Membership",1593208800,1774884875,110,Zapier,montabloc@gmail.com,
124407,RES'UP - S'UNIR POUR GRANDIR,"Réseau d'Entrepreneurs pour le partage d'expériences, d'échanges et bien sur pour le Business. Une association également solidaire qui reverse 20% de ses cotisations à une association essonnienne à but humanitaire choisie chaque année",/associations/res-up-s-unir-pour-grandir,https://cdn.helloasso.com/img/logos/croppedimage-a895d77d4b4e46d1993241f30b0cef25.png,https://cdn.helloasso.com/img/photos/croppedimage-3d10d65e52834bb8b8fcb81dfec065d0.png,Arpajon,91290,Essonne,Île-de-France,27 rue du 8 mai 1945,48.594152,2.251678,Association1901,Humanitaire | Professionnels | Étudiants | Solidarité et Action Sociale,Solidarité Ukraine,2,"Event, Membership",1547766000,1774885441,110,,91resop@gmail.com,0770717200
208874,IGNY T.T.,"Plus qu'un club de sport : une 2ème famille véhiculant des valeurs éducatives : partage, générosité, dépassement de soi, détermination, concentration. Jeunes ou adultes, loisirs ou compétiteurs, une équipe de bénévoles et d'encadrants diplômés vous accueille 7j/7 dans une salle spécifique.",/associations/igny-t-t,https://cdn.helloasso.com/img/logos/croppedimage-9f39fa8749764c60835bf2590d3df9d9.png,https://cdn.helloasso.com/img/photos/croppedimage-324ed7e4b7ef41db8e1d7beee3d25c48.jpg,Igny,91430,Essonne,Île-de-France,Gymnase Cerdan Rue de Lovenich,48.738167,2.220588,Association1901Rig,Sport,Don,7,"Donation, Shop, Event, PaymentForm, Membership",1592431200,1774897936,110,BasicCompta,tt.igny91@pignypong.fr,
