objectID,name,description,url,logo,banner,city,zipcode,department,region,address,lat,lng,org_type,category_tags,ha_tags,active_forms_count,active_forms_type,creation_date,last_order_date,score,partners,contact_email,contact_phone
439810,Bressuire Activités Cyclistes,Association sportive de cyclisme ,/associations/bressuire-activites-cyclistes,https://cdn.helloasso.com/img/logos/croppedimage-f069eb2f2a424db797442e65d72a08f6.png,https://cdn.helloasso.com/img/photos/croppedimage-a1aceb7e548e433dab2c2ec253ed929e.png,Bressuire,79300,Deux-Sèvres,Nouvelle-Aquitaine,3 Boulevard Lescure,46.833978,-0.493221,Association1901,Sport | Cyclisme,,5,"Shop, Event, Membership",1696975200,1774986784,110,,presidence@bressuireac.fr,0689372334
405276, Club de Gymnastique l'Etoile Parthenaisienne,"L'Etoile Parthenaisienne est le club de Gym FFG de la ville de Parthenay. Nous proposons de la GAF, GAM, loisirs ou compétition, éveil gymnique et Team Gym",/associations/club-de-gymnastique-l-etoile-parthenaisienne,https://cdn.helloasso.com/img/logos/croppedimage-0054b54b5ce342dfa09bb31a7da3d83c.png,https://cdn.helloasso.com/img/photos/croppedimage-c74851c0ed55421dba3460267956834b.png,Parthenay,79200,Deux-Sèvres,Nouvelle-Aquitaine,2 Rue de la Citadelle,46.648724,-0.25192,Association1901Rig,Sport | Gymnastique,,3,"Shop, Event",1684879200,1774990581,110,Gestgym | BasicCompta,gym.etoile79@gmail.com,0608700636
533884,COMPAGNIE DE TIR A L'ARC LA FLECHE CRECHOISE," Depuis 1996, la Compagnie de tir à l'arc de La Flèche Crèchoise rassemble des passionnés amateurs et sportifs autour de la pratique du tir à l'arc pour tous à partir de 10 ans.  Nous vous proposerons du tir à l'arc loisir pour la détente et du tir à l'arc compétition.",/associations/compagnie-de-tir-a-l-arc-la-fleche-crechoise,https://cdn.helloasso.com/img/logos/croppedimage-b20bc92ea58046a2bfe47aafc140a94a.png,https://cdn.helloasso.com/img/photos/croppedimage-27705332628647a89cd1a75e4ac345bb.png,La Crèche,79260,Deux-Sèvres,Nouvelle-Aquitaine,23 Route de Cherveux,46.364123,-0.306653,Association1901,Sport | Tir | Tir à l'arc,,3,"Shop, PaymentForm, Membership",1726610400,1773736170,110,,flechecrechoise@gmail.com,
266530,Maison Pour Tous d'Aiffres - 79,"D’octobre à avril, vous pouvez découvrir une programmation artistique variée, pour tous les âges et tous les goûts : humour, théâtre, musique, cirque… À l’Espace Tartalin d’Aiffres ou d’autres lieux insolites. Venez satisfaire votre curiosité artistique !",/associations/maison-pour-tous-d-aiffres-79,https://cdn.helloasso.com/img/logos/croppedimage-1524758577ff4b2ba47466828b619d24.png,https://cdn.helloasso.com/img/photos/croppedimage-2cf4b4f4909745c0b5bf3d1f8e39744d.png,Aiffres,79230,Deux-Sèvres,Nouvelle-Aquitaine,85 Rue du Bourg,46.286334,-0.416256,Association1901,Arts | Cirque | Culture | Informatique | Théâtre | Arts et Culture,,8,"Event, Membership",1623016800,1774899575,110,,culture.mptaiffres@csc79.org,0549775107
438824,Association L'échappée Belle 79,Ouverture de la billetterie le 16 Mars…,/associations/association-l-echappee-belle-79,https://cdn.helloasso.com/img/logos/croppedimage-b6416f9fec154577a0b2e97b3d949959.jpg,https://cdn.helloasso.com/img/photos/croppedimage-b5c6b20c104847c89786422f15b81cdd.png,La Chapelle-Bâton,79220,Deux-Sèvres,Nouvelle-Aquitaine,Place de l’Accueil,46.474541,-0.329392,Association1901,Arts | Culture | Théâtre | Arts et Culture,,1,Event,1696629600,1774984220,110,,lechappee.belle79@gmail.com,0782098807
551743,Association ART'I-MOOV ,"""Art'I-Moov promeut la danse et les arts via des évènements, ateliers et projets. L'association vise à favoriser l'émergence, la formation et l'insertion professionnelle des artistes.""  Elle offre au public, une programmation riche en danse et autres arts, tout en accompagnant les artistes.",/associations/association-art-i-moov,https://cdn.helloasso.com/img/logos/croppedimage-a845461dc03f4037b1dcad0c59516fe3.jpg,https://cdn.helloasso.com/img/photos/croppedimage-9259682cfa4a46c6901c2c11f1172d98.jpg,Niort,79000,Deux-Sèvres,Nouvelle-Aquitaine,95 Rue des Equarts,46.318938,-0.482677,Association1901,Arts et Culture | Arts | Culture | Danse | Formation | Informatique | Insertion,,12,"Shop, Event, Membership",1732402800,1774979159,110,Zapier,,
409922,AVENIR 79 FOOTBALL CLUB,"Pratique du football sur les communes de Saint-Maxire, Villiers en Plaine, Saint-Rémy et Sciecq.  ",/associations/avenir-79-football-club,https://cdn.helloasso.com/img/logos/croppedimage-88dfba96135244ef8268a18bf3d5fe48.png,https://cdn.helloasso.com/img/photos/croppedimage-650a24a08b67404d9b26598aba0eaf36.jpg,Saint-Maxire,79410,Deux-Sèvres,Nouvelle-Aquitaine,5 rue de Niort,46.399335,-0.47756,Association1901Rig,Sport | Football,,3,"Event, Membership",1686520800,1774981853,110,cmo | Team Pulse,581429@lfna.fr ,0649667013
118162,COMITE DEPARTEMENTAL DE HANDBALL DES DEUX-SEVRES,"Le comité départemental de handball des Deux-Sèvres a pour objet de promouvoir et d'organiser la pratique du handball et ses pratiques dérivées (Handfit, Hand à 4, Beach Handball ...etc), de former les acteurs (joueurs, arbitres, entraîneurs, dirigeants), de s'assurer du respect des règlements.",/associations/comite-departemental-de-handball-des-deux-sevres,https://cdn.helloasso.com/img/logos/comite departemental de handball des deux sevres-19f55ab722524caeadf961e985f6dc80.jpg,https://cdn.helloasso.com/img/photos/croppedimage-8a671c2665674d109443fd97988d6ba9.png,Niort,79025,Deux-Sèvres,Nouvelle-Aquitaine,28 rue de la Blauderie,46.3231,-0.4588,Association1901Rig,Sport | Handball,,3,"Shop, Event, Donation",1541977200,1774964517,110,FFHB | cmo,6079000@ffhandball.net,0549066115
331343,Ecole de danse Chauray,"Association loi 1901, nous employons trois professeurs diplômés d'état et/ou expérimentés. Ceux-ci enseignent les disciplines suivantes : éveil, jazz, contemporain, street, Pilates, zumba, fitness…",/associations/ecole-de-danse-chauray,https://cdn.helloasso.com/img/logos/croppedimage-8a168e2b92c74f45ae334e223291aea3.png,https://cdn.helloasso.com/img/photos/croppedimage-0315543aa99549d881a340e9c1620958.png,Chauray,79180,Deux-Sèvres,Nouvelle-Aquitaine,24 Rue Emile Proust,46.361359,-0.375419,Association1901,Fitness | Jazz | Pilates | Zumba | Sport,Octobre-rose,1,Shop,1656021600,1769790464,110,cmo,edd.ecoledansechauray@gmail.com,
332552,Conseil des Parents d'Élèves des Écoles Publiques de Coulon,"Association des Parents d'Elèves de Coulon, nous mettons tout en œuvre pour les enfants de notre commune. ",/associations/conseil-des-parents-d-eleves-des-ecoles-publiques-de-coulon,https://cdn.helloasso.com/img/logos/croppedimage-1cf3728345184979b9da4b046664bf36.png,https://cdn.helloasso.com/img/photos/croppedimage-9000fbf34a314f6faea7e9b388c57612.png,Coulon,79510,Deux-Sèvres,Nouvelle-Aquitaine,3 Place de la Coutume,46.320912,-0.587337,Association1901,Education | Enfance | Formation,,1,Shop,1656453600,1769963512,110,,cpecoulon@gmail.com,
